	revision	user	date	chromosome	systematic_id	primary_name	feature_type	value_x	value_y	added_or_removed
27	2326	vw253	2014-11-06	II	SPNCRNA.291		ncRNA	complement(103165..104528)	('PMID:21511999', 'PMID:18488015')	added
28	2326	vw253	2014-11-06	II	SPNCRNA.291		ncRNA	complement(103165..104528)	('PMID:18488015',)	removed
29	2326	vw253	2014-11-06	II	SPNCRNA.293		ncRNA	120577..121643	('PMID:21511999', 'PMID:18488015')	added
30	2326	vw253	2014-11-06	II	SPNCRNA.293		ncRNA	120577..121643	('PMID:18488015',)	removed
31	2326	vw253	2014-11-06	II	SPNCRNA.316		ncRNA	complement(591798..592612)	('PMID:21511999', 'PMID:18488015')	added
32	2326	vw253	2014-11-06	II	SPNCRNA.316		ncRNA	complement(591798..592612)	('PMID:18488015',)	removed
33	1825	mah79	2014-06-19	I	SPSNRNA.02	snu2	snRNA	complement(959370..959586)	('EMBL:X55772', 'Rfam:RF00004', 'PMID:3244367')	added
34	1825	mah79	2014-06-19	I	SPSNRNA.02	snu2	snRNA	complement(959370..959586)	('EMBL:X55772', 'Rfam:RF00004')	removed
35	1825	mah79	2014-06-19	I	SPSNRNA.03	snu3	snRNA	complement(987570..987825)	('Rfam:RF00012', 'PMID:3194197')	added
36	1825	mah79	2014-06-19	I	SPSNRNA.03	snu3	snRNA	complement(987570..987825)	('Rfam:RF00012',)	removed
37	1825	mah79	2014-06-19	I	SPSNRNA.06	snu6	snRNA	complement(join(2562276..2562323,2562374..2562427))	('Rfam:RF00026', 'EMBL:X14196', 'PMID:2909894')	added
38	1825	mah79	2014-06-19	I	SPSNRNA.06	snu6	snRNA	complement(join(2562276..2562323,2562374..2562427))	('Rfam:RF00026', 'EMBL:X14196')	removed
39	1825	mah79	2014-06-19	II	SPSNRNA.01	snu1	snRNA	3020205..3020353	('PMID:2188102',)	added
40	1825	mah79	2014-06-19	II	SPSNRNA.04	snu4	snRNA	complement(467233..467361)	('PMID:2795654',)	added
41	1825	mah79	2014-06-19	II	SPSNRNA.05	snu5	snRNA	3236867..3236986	('PMID:2587274',)	added
42	1825	mah79	2014-06-19	II	SPSNRNA.07	snu32	snRNA	complement(3958832..3959086)	('EMBL:X56189', 'PMID:1560765')	added
43	1825	mah79	2014-06-19	II	SPSNRNA.07	snu32	snRNA	complement(3958832..3959086)	('EMBL:X56189',)	removed
44	1800	mah79	2014-06-12	I	SPNCRNA.98	srp7	ncRNA	4268662..4268916	('EMBL:X15220', 'Rfam:RF00017', 'PMID:2837764', 'PMID:16453822')	added
45	1800	mah79	2014-06-12	I	SPNCRNA.98	srp7	ncRNA	4268662..4268916	('EMBL:X15220', 'Rfam:RF00017')	removed
46	1155	vw253	2013-08-13	I	SPNCRNA.95		ncRNA	3789400..3789948	('EMBL:FY093953', 'EMBL:AU010014', 'PMID:23872991')	added
47	1155	vw253	2013-08-13	I	SPNCRNA.95		ncRNA	3789400..3789948	('EMBL:SPC0079', 'PMID:23872991')	removed
48	1106	vw253	2013-07-19	I	SPAC4A8.08c	vrs2	CDS	complement(join(2558600..2558893,2558942..2559214,2559254..2561080,2561121..2561210,2561255..2561371,2561410..2561562,2561616..2561714))	('SPD:47/47H03',)	added
49	1106	vw253	2013-07-19	I	SPAC4A8.08c	vrs2	CDS	complement(join(2558600..2558893,2558942..2559214,2559254..2561080,2561121..2561210,2561255..2561371,2561410..2561562,2561616..2561714))	('KEGG:MAP00290', 'KEGG:MAP00970', 'SPD:47/47H03')	removed
50	544	vw253	2012-08-06	II	SPNCRNA.304		misc_RNA	complement(360439..363023)	('PMID:21511999', 'PMID:18488015')	added
51	544	vw253	2012-08-06	II	SPNCRNA.304		misc_RNA	complement(360439..363023)	('PMID:18488015',)	removed
52	544	vw253	2012-08-06	II	SPNCRNA.322		misc_RNA	674049..676227	('PMID:21511999', 'PMID:18488015')	added
53	544	vw253	2012-08-06	II	SPNCRNA.322		misc_RNA	674049..676227	('PMID:18488015',)	removed
54	544	vw253	2012-08-06	II	SPNCRNA.438		misc_RNA	complement(4194849..4196046)	('PMID:18488015', 'PMID:21511999')	added
55	544	vw253	2012-08-06	II	SPNCRNA.438		misc_RNA	complement(4194849..4196046)	('PMID:18488015',)	removed
56	34	vw253	2011-08-29	III	SPNCRNA.511		misc_RNA	2011026..2012559	('PMID:21511999', 'PMID:18488015')	added
57	34	vw253	2011-08-29	III	SPNCRNA.511		misc_RNA	2011026..2012559	('PMID:18488015',)	removed
58	34	vw253	2011-08-29	III	SPNCRNA.519		misc_RNA	2362179..2362725	('PMID:21511999', 'PMID:18488015')	added
59	34	vw253	2011-08-29	III	SPNCRNA.519		misc_RNA	2362179..2362725	('PMID:18488015',)	removed
60	34	vw253	2011-08-29	III	SPNCRNA.67	prl67	misc_RNA	1431135..1433068	('PMID:21511999', 'EMBL:AB084879', 'PMID:12597277')	added
61	34	vw253	2011-08-29	III	SPNCRNA.67	prl67	misc_RNA	1431135..1433068	('EMBL:AB084879', 'PMID:12597277')	removed
62	svn_2	kmr44	2011-08-22	II	SPNCRNA.111		misc_RNA	complement(3978331..3982106)	('PMID:18488015', 'EMBL:AU009915')	removed
63	svn_2	kmr44	2011-08-22	II	SPNCRNA.111		misc_RNA	complement(3978331..3982106)	('PMID:18488015', 'EMBL:AU009915', 'PMID:21511999')	added
64	20110324	-	2011-03-24	I	SPAC1002.12c		CDS	complement(1818695..1820338)	('PMID:18641648', 'PMID:20118936')	removed
65	20110324	-	2011-03-24	I	SPAC1002.12c		CDS	complement(1818695..1820338)	('PMID:xxxxxxxx',)	added
66	20110324	-	2011-03-24	I	SPAC1002.12c		CDS	complement(1818695..1820338)	('PMID:18641648', 'PMID:20118936')	removed
67	20110324	-	2011-03-24	I	SPAC1002.12c		CDS	complement(1818695..1820338)	('PMID:xxxxxxxx',)	added
68	20110324	-	2011-03-24	I	SPAC1002.17c	urg2	CDS	complement(1831012..1831626)	('PMID:18641648', 'PMID:20118936')	removed
69	20110324	-	2011-03-24	I	SPAC1002.17c	urg2	CDS	complement(1831012..1831626)	('PMID:xxxxxxxx',)	added
70	20110324	-	2011-03-24	I	SPAC1002.17c	urg2	CDS	complement(1831012..1831626)	('PMID:18641648', 'PMID:20118936')	removed
71	20110324	-	2011-03-24	I	SPAC1002.17c	urg2	CDS	complement(1831012..1831626)	('PMID:xxxxxxxx',)	added
72	20110324	-	2011-03-24	I	SPAC105.01c	kha1	CDS	complement(join(1740616..1743124,1743299..1743378,1743421..1743501))	('PMID:18641648', 'PMID:20118936')	removed
73	20110324	-	2011-03-24	I	SPAC105.01c	kha1	CDS	complement(join(1740616..1743124,1743299..1743378,1743421..1743501))	('PMID:xxxxxxxx',)	added
74	20110324	-	2011-03-24	I	SPAC105.01c	kha1	CDS	complement(join(1740616..1743124,1743299..1743378,1743421..1743501))	('PMID:18641648', 'PMID:20118936')	removed
75	20110324	-	2011-03-24	I	SPAC105.01c	kha1	CDS	complement(join(1740616..1743124,1743299..1743378,1743421..1743501))	('PMID:xxxxxxxx',)	added
76	20110324	-	2011-03-24	I	SPAC1093.03		CDS	join(4613627..4613686,4613723..4614081,4614152..4614378,4614438..4614954,4614996..4616331)	('PMID:18641648', 'PMID:20118936')	removed
77	20110324	-	2011-03-24	I	SPAC1093.03		CDS	join(4613627..4613686,4613723..4614081,4614152..4614378,4614438..4614954,4614996..4616331)	('PMID:xxxxxxxx',)	added
78	20110324	-	2011-03-24	I	SPAC10F6.10		CDS	join(1225599..1225725,1225811..1225936,1226039..1227279)	('PMID:18641648', 'PMID:20118936')	removed
79	20110324	-	2011-03-24	I	SPAC10F6.10		CDS	join(1225599..1225725,1225811..1225936,1226039..1227279)	('PMID:xxxxxxxx',)	added
80	20110324	-	2011-03-24	I	SPAC11E3.03	pcs1	CDS	join(5286130..5286181,5286221..5286562,5286609..5286821,5286877..5287055)	('PMID:18641648', 'PMID:20118936')	removed
81	20110324	-	2011-03-24	I	SPAC11E3.03	pcs1	CDS	join(5286130..5286181,5286221..5286562,5286609..5286821,5286877..5287055)	('PMID:xxxxxxxx',)	added
82	20110324	-	2011-03-24	I	SPAC11E3.03	pcs1	CDS	join(5286130..5286181,5286221..5286562,5286609..5286821,5286877..5287055)	('PMID:18641648', 'PMID:20118936')	removed
83	20110324	-	2011-03-24	I	SPAC11E3.03	pcs1	CDS	join(5286130..5286181,5286221..5286562,5286609..5286821,5286877..5287055)	('PMID:xxxxxxxx',)	added
84	20110324	-	2011-03-24	I	SPAC1296.06	tah18	CDS	join(719447..719581,719663..719740,719791..719888,719926..720024,720066..721410)	('PMID:18641648', 'PMID:20118936')	removed
85	20110324	-	2011-03-24	I	SPAC1296.06	tah18	CDS	join(719447..719581,719663..719740,719791..719888,719926..720024,720066..721410)	('PMID:xxxxxxxx',)	added
86	20110324	-	2011-03-24	I	SPAC12G12.15	sif3	CDS	complement(join(317431..317469,317514..318172,318221..318941))	('PMID:18641648', 'PMID:20118936')	removed
87	20110324	-	2011-03-24	I	SPAC12G12.15	sif3	CDS	complement(join(317431..317469,317514..318172,318221..318941))	('PMID:xxxxxxxx',)	added
88	20110324	-	2011-03-24	I	SPAC12G12.15	sif3	CDS	complement(join(317431..317469,317514..318172,318221..318941))	('PMID:18641648', 'PMID:20118936')	removed
89	20110324	-	2011-03-24	I	SPAC12G12.15	sif3	CDS	complement(join(317431..317469,317514..318172,318221..318941))	('PMID:xxxxxxxx',)	added
90	20110324	-	2011-03-24	I	SPAC13G6.05c	trs33	CDS	complement(join(181077..181436,181485..181574,181632..181749,182001..182194))	('PMID:18641648', 'PMID:20118936')	removed
91	20110324	-	2011-03-24	I	SPAC13G6.05c	trs33	CDS	complement(join(181077..181436,181485..181574,181632..181749,182001..182194))	('PMID:xxxxxxxx',)	added
92	20110324	-	2011-03-24	I	SPAC13G6.06c	gcv2	CDS	complement(182976..186071)	('PMID:18641648', 'PMID:20118936')	removed
93	20110324	-	2011-03-24	I	SPAC13G6.06c	gcv2	CDS	complement(182976..186071)	('PMID:xxxxxxxx',)	added
94	20110324	-	2011-03-24	I	SPAC13G6.06c	gcv2	CDS	complement(182976..186071)	('PMID:18641648', 'PMID:20118936')	removed
95	20110324	-	2011-03-24	I	SPAC13G6.06c	gcv2	CDS	complement(182976..186071)	('PMID:xxxxxxxx',)	added
96	20110324	-	2011-03-24	I	SPAC140.01	sdh2	CDS	1895464..1896291	('PMID:18641648', 'PMID:20118936')	removed
97	20110324	-	2011-03-24	I	SPAC140.01	sdh2	CDS	1895464..1896291	('PMID:xxxxxxxx',)	added
98	20110324	-	2011-03-24	I	SPAC140.01	sdh2	CDS	1895464..1896291	('PMID:18641648', 'PMID:20118936')	removed
99	20110324	-	2011-03-24	I	SPAC140.01	sdh2	CDS	1895464..1896291	('PMID:xxxxxxxx',)	added
100	20110324	-	2011-03-24	I	SPAC144.06	apl5	CDS	join(4664387..4664545,4664586..4664747,4664799..4666668,4666714..4666976,4667016..4667039)	('PMID:18641648', 'PMID:20118936')	removed
101	20110324	-	2011-03-24	I	SPAC144.06	apl5	CDS	join(4664387..4664545,4664586..4664747,4664799..4666668,4666714..4666976,4667016..4667039)	('PMID:xxxxxxxx',)	added
102	20110324	-	2011-03-24	I	SPAC144.06	apl5	CDS	join(4664387..4664545,4664586..4664747,4664799..4666668,4666714..4666976,4667016..4667039)	('PMID:18641648', 'PMID:20118936')	removed
103	20110324	-	2011-03-24	I	SPAC144.06	apl5	CDS	join(4664387..4664545,4664586..4664747,4664799..4666668,4666714..4666976,4667016..4667039)	('PMID:xxxxxxxx',)	added
104	20110324	-	2011-03-24	I	SPAC14C4.02c	smc5	CDS	complement(join(5226406..5229417,5229467..5229632,5229701..5229753))	('PMID:18641648', 'PMID:20118936')	removed
105	20110324	-	2011-03-24	I	SPAC14C4.02c	smc5	CDS	complement(join(5226406..5229417,5229467..5229632,5229701..5229753))	('PMID:xxxxxxxx',)	added
106	20110324	-	2011-03-24	I	SPAC14C4.02c	smc5	CDS	complement(join(5226406..5229417,5229467..5229632,5229701..5229753))	('PMID:18641648', 'PMID:20118936')	removed
107	20110324	-	2011-03-24	I	SPAC14C4.02c	smc5	CDS	complement(join(5226406..5229417,5229467..5229632,5229701..5229753))	('PMID:xxxxxxxx',)	added
108	20110324	-	2011-03-24	I	SPAC1639.01c		CDS	complement(join(251726..252337,252392..252752,253590..253714))	('PMID:18488015',)	removed
109	20110324	-	2011-03-24	I	SPAC1639.01c		CDS	complement(join(251726..252337,252392..252752,253590..253714))	('PMID:xxxxxxxx',)	added
110	20110324	-	2011-03-24	I	SPAC1639.02c	trk2	CDS	complement(join(256030..256134,256345..256370,256427..256445,256542..256612,256684..256750,256797..257009,257055..257070,257116..257135,257179..257181,257229..258184,258220..259120,259161..259315,259356..259461))	('PMID:18641648', 'PMID:20118936')	removed
111	20110324	-	2011-03-24	I	SPAC1639.02c	trk2	CDS	complement(join(256030..256134,256345..256370,256427..256445,256542..256612,256684..256750,256797..257009,257055..257070,257116..257135,257179..257181,257229..258184,258220..259120,259161..259315,259356..259461))	('PMID:xxxxxxxx',)	added
112	20110324	-	2011-03-24	I	SPAC167.04	pam17	CDS	complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554827))	('PMID:18641648', 'PMID:20118936')	removed
113	20110324	-	2011-03-24	I	SPAC167.04	pam17	CDS	complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554827))	('PMID:xxxxxxxx',)	added
114	20110324	-	2011-03-24	I	SPAC167.04	pam17	CDS	complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554827))	('PMID:18641648', 'PMID:20118936')	removed
115	20110324	-	2011-03-24	I	SPAC167.04	pam17	CDS	complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554827))	('PMID:xxxxxxxx',)	added
116	20110324	-	2011-03-24	I	SPAC1687.17c		CDS	complement(join(935249..935668,935747..935812,935860..935899,935943..935989))	('PMID:18641648', 'PMID:20118936')	removed
117	20110324	-	2011-03-24	I	SPAC1687.17c		CDS	complement(join(935249..935668,935747..935812,935860..935899,935943..935989))	('PMID:xxxxxxxx',)	added
118	20110324	-	2011-03-24	I	SPAC1687.17c		CDS	complement(join(935249..935668,935747..935812,935860..935899,935943..935989))	('PMID:18641648', 'PMID:20118936')	removed
119	20110324	-	2011-03-24	I	SPAC1687.17c		CDS	complement(join(935249..935668,935747..935812,935860..935899,935943..935989))	('PMID:xxxxxxxx',)	added
120	20110324	-	2011-03-24	I	SPAC16A10.03c		CDS	complement(join(3081568..3083850,3083902..3084081,3084125..3084190,3084230..3084244))	('PMID:18641648', 'PMID:20118936')	removed
121	20110324	-	2011-03-24	I	SPAC16A10.03c		CDS	complement(join(3081568..3083850,3083902..3084081,3084125..3084190,3084230..3084244))	('PMID:xxxxxxxx',)	added
122	20110324	-	2011-03-24	I	SPAC16A10.05c	dad1	CDS	complement(3089053..3089325)	('PMID:18641648', 'PMID:20118936')	removed
123	20110324	-	2011-03-24	I	SPAC16A10.05c	dad1	CDS	complement(3089053..3089325)	('PMID:xxxxxxxx',)	added
124	20110324	-	2011-03-24	I	SPAC16A10.05c	dad1	CDS	complement(3089053..3089325)	('PMID:18641648', 'PMID:20118936')	removed
125	20110324	-	2011-03-24	I	SPAC16A10.05c	dad1	CDS	complement(3089053..3089325)	('PMID:xxxxxxxx',)	added
126	20110324	-	2011-03-24	I	SPAC16A10.06c	nse2	CDS	complement(join(3089583..3090047,3090163..3090285,3090533..3090697))	('PMID:18641648', 'PMID:20118936')	removed
127	20110324	-	2011-03-24	I	SPAC16A10.06c	nse2	CDS	complement(join(3089583..3090047,3090163..3090285,3090533..3090697))	('PMID:xxxxxxxx',)	added
128	20110324	-	2011-03-24	I	SPAC16E8.07c	vph1	CDS	complement(join(3510419..3512794,3512848..3512948,3513001..3513019))	('PMID:xxxxxxxx',)	added
129	20110324	-	2011-03-24	I	SPAC16E8.07c	vph1	CDS	complement(join(3510419..3512794,3512848..3512948,3513001..3513019))	('PMID:18641648', 'PMID:20118936')	removed
130	20110324	-	2011-03-24	I	SPAC16E8.07c	vph1	CDS	complement(join(3510419..3512794,3512848..3512948,3513001..3513019))	('PMID:xxxxxxxx',)	added
131	20110324	-	2011-03-24	I	SPAC16E8.11c	tfb1	CDS	complement(join(3520542..3520619,3520663..3521206,3521264..3521447,3521493..3522155,3522201..3522287,3522325..3522370))	('PMID:18641648', 'PMID:20118936')	removed
132	20110324	-	2011-03-24	I	SPAC16E8.11c	tfb1	CDS	complement(join(3520542..3520619,3520663..3521206,3521264..3521447,3521493..3522155,3522201..3522287,3522325..3522370))	('PMID:xxxxxxxx',)	added
133	20110324	-	2011-03-24	I	SPAC16E8.11c	tfb1	CDS	complement(join(3520542..3520619,3520663..3521206,3521264..3521447,3521493..3522155,3522201..3522287,3522325..3522370))	('PMID:18641648', 'PMID:20118936')	removed
134	20110324	-	2011-03-24	I	SPAC16E8.11c	tfb1	CDS	complement(join(3520542..3520619,3520663..3521206,3521264..3521447,3521493..3522155,3522201..3522287,3522325..3522370))	('PMID:xxxxxxxx',)	added
135	20110324	-	2011-03-24	I	SPAC1751.04		CDS	join(384320..384349,384480..384590,384986..385060,385125..385220)	('PMID:18641648', 'PMID:20118936')	removed
136	20110324	-	2011-03-24	I	SPAC1751.04		CDS	join(384320..384349,384480..384590,384986..385060,385125..385220)	('PMID:xxxxxxxx',)	added
137	20110324	-	2011-03-24	I	SPAC1751.04		CDS	join(384320..384349,384480..384590,384986..385060,385125..385220)	('PMID:18641648', 'PMID:20118936')	removed
138	20110324	-	2011-03-24	I	SPAC1751.04		CDS	join(384320..384349,384480..384590,384986..385060,385125..385220)	('PMID:xxxxxxxx',)	added
139	20110324	-	2011-03-24	I	SPAC1783.02c	vps66	CDS	complement(join(2189507..2189845,2189907..2190180,2190245..2190509,2190697..2190721))	('PMID:18641648', 'PMID:20118936')	removed
140	20110324	-	2011-03-24	I	SPAC1783.02c	vps66	CDS	complement(join(2189507..2189845,2189907..2190180,2190245..2190509,2190697..2190721))	('PMID:xxxxxxxx',)	added
141	20110324	-	2011-03-24	I	SPAC1783.02c	vps66	CDS	complement(join(2189507..2189845,2189907..2190180,2190245..2190509,2190697..2190721))	('PMID:18641648', 'PMID:20118936')	removed
142	20110324	-	2011-03-24	I	SPAC1783.02c	vps66	CDS	complement(join(2189507..2189845,2189907..2190180,2190245..2190509,2190697..2190721))	('PMID:xxxxxxxx',)	added
143	20110324	-	2011-03-24	I	SPAC17A2.08c		CDS	complement(join(3568267..3569092,3569141..3569226,3569292..3569368,3569443..3569539))	('PMID:18641648', 'PMID:20118936')	removed
144	20110324	-	2011-03-24	I	SPAC17A2.08c		CDS	complement(join(3568267..3569092,3569141..3569226,3569292..3569368,3569443..3569539))	('PMID:xxxxxxxx',)	added
145	20110324	-	2011-03-24	I	SPAC17A5.07c	ulp2	CDS	complement(join(1764336..1764792,1764877..1765113,1765168..1765272,1765342..1766188,1766337..1766530,1766589..1766644,1766691..1766711))	('PMID:18641648', 'PMID:20118936')	removed
146	20110324	-	2011-03-24	I	SPAC17A5.07c	ulp2	CDS	complement(join(1764336..1764792,1764877..1765113,1765168..1765272,1765342..1766188,1766337..1766530,1766589..1766644,1766691..1766711))	('PMID:xxxxxxxx',)	added
147	20110324	-	2011-03-24	I	SPAC17D4.04		CDS	join(4729751..4729783,4729834..4729880,4729920..4730042,4730088..4731893,4731938..4731995)	('PMID:18641648', 'PMID:20118936')	removed
148	20110324	-	2011-03-24	I	SPAC17D4.04		CDS	join(4729751..4729783,4729834..4729880,4729920..4730042,4730088..4731893,4731938..4731995)	('PMID:xxxxxxxx',)	added
149	20110324	-	2011-03-24	I	SPAC17D4.04		CDS	join(4729751..4729783,4729834..4729880,4729920..4730042,4730088..4731893,4731938..4731995)	('PMID:18641648', 'PMID:20118936')	removed
150	20110324	-	2011-03-24	I	SPAC17D4.04		CDS	join(4729751..4729783,4729834..4729880,4729920..4730042,4730088..4731893,4731938..4731995)	('PMID:xxxxxxxx',)	added
151	20110324	-	2011-03-24	I	SPAC17G6.15c		CDS	complement(join(3619344..3619703,3619808..3620143,3620184..3620257,3620371..3620480,3620529..3620554,3620595..3620657))	('PMID:18641648', 'PMID:20118936')	removed
152	20110324	-	2011-03-24	I	SPAC17G6.15c		CDS	complement(join(3619344..3619703,3619808..3620143,3620184..3620257,3620371..3620480,3620529..3620554,3620595..3620657))	('PMID:xxxxxxxx',)	added
153	20110324	-	2011-03-24	I	SPAC17G6.15c		CDS	complement(join(3619344..3619703,3619808..3620143,3620184..3620257,3620371..3620480,3620529..3620554,3620595..3620657))	('PMID:18641648', 'PMID:20118936')	removed
154	20110324	-	2011-03-24	I	SPAC17G6.15c		CDS	complement(join(3619344..3619703,3619808..3620143,3620184..3620257,3620371..3620480,3620529..3620554,3620595..3620657))	('PMID:xxxxxxxx',)	added
155	20110324	-	2011-03-24	I	SPAC17G6.16c	ysh1	CDS	complement(join(3621007..3621470,3621514..3622060,3622105..3623005,3623047..3623175,3623309..3623406,3623456..3623542,3623597..3623644))	('PMID:18641648', 'PMID:20118936')	removed
156	20110324	-	2011-03-24	I	SPAC17G6.16c	ysh1	CDS	complement(join(3621007..3621470,3621514..3622060,3622105..3623005,3623047..3623175,3623309..3623406,3623456..3623542,3623597..3623644))	('PMID:xxxxxxxx',)	added
157	20110324	-	2011-03-24	I	SPAC1805.03c	trm13	CDS	complement(join(2775340..2776083,2776135..2776171,2776251..2776576))	('PMID:18641648', 'PMID:20118936')	removed
158	20110324	-	2011-03-24	I	SPAC1805.03c	trm13	CDS	complement(join(2775340..2776083,2776135..2776171,2776251..2776576))	('PMID:xxxxxxxx',)	added
159	20110324	-	2011-03-24	I	SPAC1805.03c	trm13	CDS	complement(join(2775340..2776083,2776135..2776171,2776251..2776576))	('PMID:18641648', 'PMID:20118936')	removed
160	20110324	-	2011-03-24	I	SPAC1805.03c	trm13	CDS	complement(join(2775340..2776083,2776135..2776171,2776251..2776576))	('PMID:xxxxxxxx',)	added
161	20110324	-	2011-03-24	I	SPAC18B11.03c		CDS	join(312182..312212,312274..313586)	('PMID:18641648', 'PMID:20118936')	removed
162	20110324	-	2011-03-24	I	SPAC18B11.03c		CDS	join(312182..312212,312274..313586)	('PMID:xxxxxxxx',)	added
163	20110324	-	2011-03-24	I	SPAC18B11.03c		CDS	join(312182..312212,312274..313586)	('PMID:18641648', 'PMID:20118936')	removed
164	20110324	-	2011-03-24	I	SPAC18B11.03c		CDS	join(312182..312212,312274..313586)	('PMID:xxxxxxxx',)	added
165	20110324	-	2011-03-24	I	SPAC18G6.04c	shm2	CDS	complement(join(2217187..2218569,2218716..2218799))	('PMID:18641648', 'PMID:20118936')	removed
166	20110324	-	2011-03-24	I	SPAC18G6.04c	shm2	CDS	complement(join(2217187..2218569,2218716..2218799))	('PMID:xxxxxxxx',)	added
167	20110324	-	2011-03-24	I	SPAC1952.14c	mrpl25	CDS	complement(join(4993896..4993934,4994046..4994444))	('PMID:18641648', 'PMID:20118936')	removed
