systematic_id	chromosome	primary_name	feature_type	category	merged_into	comment_addition	reference_addition	comment_removal	reference_removal
SPAC13G6.06c	I	gcv2	CDS	changed					
SPAC13G7.07	I	arb2	CDS	changed					
SPAC140.01	I	sdh2	CDS	changed					
SPAC144.06	I	apl5	CDS	changed					
SPAC144.17c	I		CDS	changed					
SPAC144.19	I	prl46	CDS	added					
SPAC1486.05	I	nup189	CDS	changed					
SPAC1486.11	I	fmc1	CDS	added			PMID:21270388		
SPAC14C4.02c	I	smc5	CDS	changed					
SPAC14C4.08	I	mug5	CDS	changed					
SPAC14C4.09	I	agn1	CDS,CDS_AFTER	changed					
SPAC14C4.16	I		CDS	added		hypothetical protein; sequence orphan; identified in targeted search for S. cerevisiae DAD3 ortholog			
SPAC1556.01c	I	rad50	CDS	changed					
SPAC1556.03	I	azr1	CDS	changed					
SPAC1556.06	I	meu1	CDS	changed_and_removed		Solexa prediction	PMID:18488015		
SPAC1556.06.1	I	meu1	CDS	added_changed_and_merged	SPAC1556.06				
SPAC1556.06.2	I	meu1-2	CDS	added_changed_and_removed					
SPAC1565.08	I	cdc48	CDS	changed					
SPAC15A10.06	I		CDS	changed					
SPAC15A10.07	I		CDS	changed					
SPAC15A10.10	I	mde6	CDS	changed					
SPAC15A10.12c	I		CDS	changed					
SPAC15A10.17	I	coa2	CDS	added			PMID:21270388		
SPAC1610.03c	I		CDS	changed					
SPAC1639.01c	I		CDS	changed					
SPAC1639.02c	I	trk2	CDS	changed					
SPAC167.04	I	pam17	CDS	changed					
SPAC167.09	I		CDS	added_and_changed		Solexa prediction	PMID:18488015		
SPAC1687.17c	I		CDS	changed					
SPAC16A10.03c	I		CDS	changed					
SPAC16A10.04	I		CDS	changed					
SPAC16A10.05c	I	dad1	CDS	changed					
SPAC16A10.06c	I	nse2	CDS	changed					
SPAC16E8.07c	I	vph1	CDS	changed					
SPAC16E8.10c	I		CDS	changed					
SPAC16E8.11c	I	tfb1	CDS	changed					
SPAC16E8.12c	I		CDS	changed					
SPAC16E8.18c	I	tam5	CDS	added			PMID:21270388		
SPAC1751.02c	I	rsm19	CDS	changed					
SPAC1751.04	I		CDS	changed		hypothetical protein; sequence orphan			
SPAC1783.02c	I	vps66	CDS	changed					
SPAC17A2.08c	I		CDS	changed					
SPAC17A2.15	I		CDS	added_and_removed				was on the reverse strand of the N-terminal extension of SPAC17A2.08	
SPAC17A5.02c	I	dbr1	CDS	changed					
SPAC17A5.07c	I	ulp2	CDS	changed					
SPAC17A5.19	I		CDS	added					
SPAC17C9.08	I	pnu1	CDS	changed					
SPAC17D4.01	I		CDS	added					
SPAC17D4.04	I		CDS	changed					
SPAC17G6.02c	I	tco1	CDS	removed					
SPAC17G6.02c.1	I	tco1	CDS	added					
SPAC17G6.02c.2	I	tco1	CDS	added					
SPAC17G6.15c	I		CDS	changed					
SPAC17G6.16c	I	ysh1	CDS	changed					
SPAC17G8.01c	I	trl1	CDS	changed					
SPAC17G8.05	I	med20	CDS	changed					
SPAC17G8.09	I	shg1	CDS	changed					
SPAC17G8.15	I	new1	CDS	added_and_changed			PMID:21270388		
SPAC17H9.04c	I	dri1	CDS	changed					
SPAC17H9.20	I		CDS	changed					
SPAC1805.03c	I	trm13	CDS	changed					
SPAC1805.18	I	new2	CDS	added			PMID:21270388		
SPAC1834.13	I		CDS	added					
SPAC186.04c	I		CDS	changed					
SPAC18B11.03c	I		CDS	changed					
SPAC18B11.05	I	gpi18	CDS	changed					
SPAC18G6.04c	I	shm2	CDS	changed					
SPAC1952.03	I	otu2	CDS	changed					
SPAC1952.04c	I		CDS	changed					
SPAC1952.14c	I	mrpl25	CDS	changed					
SPAC1952.15c	I	rec24	CDS	changed					
SPAC1952.16	I	rga9	CDS	changed					
SPAC19A8.04	I	erg5	CDS	changed					
SPAC19A8.06	I	pbr1	CDS	changed					
SPAC19A8.16	I	prl65	CDS	added					
SPAC19B12.06c	I		CDS	changed					
SPAC19D5.10c	I		CDS	added		sequence orphan			
SPAC19D5.11c	I		CDS	added		similar to S. cerevisiae CTF8	 pers. comm. Stuart MacNeil		
SPAC19G12.07c	I	rsd1	CDS	changed					
SPAC19G12.17	I	new10	CDS	added_and_changed			PMID:21270388		
SPAC1A6.03c	I		CDS	changed					
SPAC1A6.10	I	tcd1	CDS	changed					
SPAC1B1.04c	I		CDS	changed					
SPAC1B2.03c	I	elo2	CDS	changed					
SPAC1B2.06	I		CDS	added					
SPAC1B3.04c	I		CDS	changed					
SPAC1B3.05	I	not3	CDS	changed					
SPAC1B3.10c	I		CDS	changed					
SPAC1B3.13	I		CDS	changed					
SPAC1B3.18c	I	mrps18	CDS	changed					
SPAC1B3.21	I	tam3	CDS	added			PMID:21270388		
SPAC1D4.01	I		CDS	changed					
SPAC1D4.07c	I		CDS	removed				not protein-coding	PMID:24929437, PMID:26615217
SPAC1D4.08	I	pis1	CDS	changed					
SPAC1D4.11c	I		CDS	changed					
SPAC1F12.03c	I		CDS	removed				removed; replaced by a nuclear mitochondrial pseudogene (NUMT) feature	
SPAC1F12.08	I		CDS	changed					
SPAC1F12.09	I	gpi17	CDS	changed					
SPAC1F7.05	I	cdc22	CDS	removed					
SPAC1F7.05.1	I	cdc22	CDS	added					
SPAC1F7.05.2	I	cdc22	CDS	added_and_removed					
SPAC1F7.14c	I	tam6	CDS	added			PMID:21270388		
SPAC1F8.07c	I		CDS	changed					
SPAC1F8.09c	I		CDS	added_and_removed				annotated in error	
SPAC20G4.09	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC20H4.05c	I		CDS	changed					
SPAC20H4.09	I	gih35	CDS	changed					
SPAC212.05c	I		CDS	changed					
SPAC212.06c	I		CDS	changed					
SPAC212.10	I		CDS	changed					
SPAC212.12	I		CDS	added_and_changed					
SPAC21E11.05c	I		CDS	changed					
SPAC222.16c	I	csn3	CDS	changed					
SPAC222.17	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC222.18	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC222.19	I	tam1	CDS	added			PMID:21270388		
SPAC227.11c	I	yos9	CDS	changed					
SPAC227.19c	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC22A12.08c	I	crd1	CDS	removed					
SPAC22A12.08c.1	I	crd1	CDS	added_and_changed					
SPAC22A12.08c.2	I	crd1	CDS	added_and_changed					
SPAC22A12.13	I	mug84	CDS	changed					
SPAC22E12.10c	I	etp1	CDS	changed					
SPAC22E12.12	I		CDS	removed				dubious; unsupported by Solexa transcript data|unsupported by Solexa transcript data and largely overlapping with 3' UTR of rpl24-3	|
SPAC22E12.15	I		CDS	removed				previously annotated as dubious but dubious splice prediction; unsupported by Solexa transcript data	
SPAC22E12.17c	I	glo3	CDS	changed					
SPAC22F3.03c	I		CDS	changed					
SPAC22F3.04	I	mug62	CDS	changed					
SPAC22F3.11c	I	snu23	CDS	added_changed_and_removed					
SPAC22F3.15	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC22F8.07c	I	rtf1	CDS	changed					
SPAC22F8.10c	I	sap145	CDS	changed					
SPAC22G7.04	I	ubp13	CDS	changed					
SPAC22G7.07c	I		CDS	changed					
SPAC22H10.02	I		CDS	changed					
SPAC22H10.03c	I	kap114	CDS	changed					
SPAC23A1.10	I	tef102	CDS	changed					
SPAC23A1.18c	I	mrp51	CDS	changed					
SPAC23A1.20	I	new11	CDS	added_and_changed			PMID:21270388		
SPAC23C11.04c	I	pnk1	CDS	changed					
SPAC23C11.10	I		CDS	changed					
SPAC23C11.17	I	mdm28	CDS	changed					
SPAC23C4.04c	I		CDS	added_and_changed					
SPAC23C4.08	I		CDS	changed					
SPAC23C4.17	I		CDS	changed					
SPAC23D3.08	I	usp108	CDS	changed					
SPAC23D3.09	I	arp42	CDS	changed					
SPAC23D3.16	I		CDS	added_and_changed		Solexa prediction	PMID:18488015		
SPAC23D3.17	I		CDS	added_and_changed		Solexa prediction	PMID:18488015		
SPAC23E2.02	I	lsd2	CDS	changed					
SPAC23H3.04	I		CDS	changed					
SPAC23H4.17c	I	srb10	CDS	changed					
SPAC23H4.21	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC24B11.06c	I	sty1	CDS	changed					
SPAC24C9.06c	I		CDS	changed					
SPAC24C9.09	I		CDS	changed					
SPAC24H6.01c	I		CDS	changed					
SPAC24H6.06	I	sld3	CDS	changed					
SPAC25B8.06c	I		CDS	changed					
SPAC25B8.08	I		CDS	changed					
SPAC25B8.20	I		CDS	added					
SPAC25H1.10c	I	atp19	CDS	added_and_changed		Solexa prediction	PMID:18488015		
SPAC26A3.09c	I	rga2	CDS	changed					
SPAC26F1.02	I	pnn1	CDS	changed					
SPAC26F1.14c	I	aif1	CDS	changed					
SPAC26H5.02c	I		CDS	changed					
SPAC26H5.04	I		CDS	changed					
SPAC26H5.12	I	rpo41	CDS	changed					
SPAC27D7.04	I		mRNA	added_and_removed					
SPAC27D7.09c	I		CDS	removed					
SPAC27D7.10c	I		CDS	added_and_merged	SPAC27D7.09c				
SPAC27D7.12c	I		CDS	changed					
SPAC27E2.12	I		CDS	added		dubious			
SPAC27E2.13	I		CDS	added_changed_and_removed		dubious		not protein-coding	PMID:24929437, PMID:26615217
SPAC27E2.14	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC27F1.09c	I	prp10	CDS	changed					
SPAC27F1.09c.1	I	prp10	CDS	added_and_removed					
SPAC27F1.09c.2	I	prp10	CDS	added_and_removed					
SPAC27F1.09c.3	I	prp10	CDS	added_and_removed					
SPAC29A4.03c	I	mrps9	CDS	changed					
SPAC29A4.14c	I		CDS	changed					
SPAC29A4.22	I		CDS	added					
SPAC29A4.23	I		CDS	added_and_changed			PMID:26494834		
SPAC29B12.08	I		CDS	changed					
SPAC29B12.14c	I		CDS	changed					
SPAC29E6.03c	I	uso1	CDS	changed					
SPAC29E6.04	I	nnf1	CDS	changed					
SPAC2C4.06c	I		CDS	changed					
SPAC2C4.11c	I	rbp28	CDS	changed					
SPAC2C4.12c	I		CDS	changed					
SPAC2E12.02	I		CDS	added					
SPAC2E12.05	I	wtf1	CDS	changed					
SPAC2F3.12c	I		CDS	changed_and_removed					
SPAC2F3.13c	I		CDS	changed					
SPAC2F3.17c	I	lsm6	CDS	added					
SPAC2F3.18c	I		CDS	added_and_changed					
SPAC2F7.08c	I	snf5	CDS	changed					
SPAC2G11.09	I		CDS	changed					
SPAC2H10.04	I		CDS	added					
SPAC30.03c	I	tsn1	CDS	changed					
SPAC30C2.05	I	erv14	CDS	changed					
SPAC30D11.03	I	ddx27	CDS	changed					
SPAC31A2.05c	I	mis4	CDS	changed					
SPAC31A2.15c	I	dcc1	CDS	changed					
SPAC31G5.06	I		CDS	changed					
SPAC31G5.07	I		CDS	changed					
SPAC31G5.12c	I	maf1	CDS	changed					
SPAC31G5.15	I	psd3	CDS	changed					
SPAC323.01c	I	pos5	CDS	changed					
SPAC323.06c	I	uba5	CDS	changed					
SPAC328.05	I		CDS	changed					
SPAC343.08c	I	mrp17	CDS	changed					
SPAC343.16	I	lys2	CDS	changed					
SPAC343.21	I		CDS	added					
SPAC3A11.03	I		CDS	changed					
SPAC3A11.04	I		CDS	changed					
SPAC3A11.06	I	mvp1	CDS	changed					
SPAC3A11.09	I	sod22	CDS	changed					
SPAC3A12.04c	I	rpp1	CDS	changed					
SPAC3A12.05c	I	taf2	CDS	changed					
SPAC3A12.19	I		CDS	added		mitochondrial ribosomal protein; identified in targeted search for S. cerevisiae YBR282W ortholog			
SPAC3C7.07c	I		CDS	changed					
SPAC3F10.11c	I	abc2	CDS	changed					
SPAC3F10.19	I	spd2	CDS	added					
SPAC3G6.03c	I		CDS	changed					
SPAC3G9.17	I	new8	CDS	added			PMID:21270388		
SPAC3H1.05	I	ste24	CDS	changed					
SPAC3H1.12c	I	snt2	CDS	changed					
SPAC3H5.08c	I		CDS	changed					
SPAC3H5.09c	I		CDS	changed					
SPAC3H5.13	I	new4	CDS	added			PMID:21270388		
SPAC458.04c	I	dil1	CDS	changed					
SPAC458.07	I	tfa1	CDS	changed					
SPAC4A8.08c	I	vrs2	CDS	changed					
SPAC4A8.10	I		CDS	changed					
SPAC4C5.01	I		CDS	changed					
SPAC4D7.02c	I		CDS	changed					
SPAC4D7.07c	I		CDS	changed					
SPAC4D7.09	I	tif223	CDS	changed					
SPAC4D7.14	I	new13	CDS	added			PMID:21270388		
SPAC4D7.15	I	new12	CDS	added			PMID:21270388		
SPAC4F10.02	I	aap1	CDS	changed					
SPAC4F10.08	I	mug126	CDS	changed					
SPAC4F10.22	I	cmc4	CDS	added			PMID:21270388		
SPAC4F8.06	I		CDS	changed					
SPAC4G8.07c	I	trm2	CDS	changed					
SPAC4G8.15c	I		CDS	removed				dubious; unsupported by Solexa transcript data	
SPAC4G9.11c	I	cmb1	CDS	changed					
SPAC4G9.20c	I		CDS	changed					
SPAC4G9.22	I		CDS	added_and_changed		Solexa prediction	PMID:18488015		
SPAC4H3.06	I		CDS	changed					
SPAC4H3.07c	I		CDS	changed					
SPAC4H3.12c	I		CDS	removed				not protein-coding	PMID:24929437, PMID:26615217
SPAC4H3.16	I		CDS,misc_RNA	added_and_changed					
SPAC4H3.17	I		CDS	added					
SPAC521.02	I	wss1	CDS	changed					
SPAC56E4.04c	I	cut6	CDS	changed					
SPAC56F8.04c	I	ppt1	CDS	changed					
SPAC56F8.05c	I	mug64	CDS	changed					
SPAC57A10.04	I	mug10	CDS	changed					
SPAC57A10.14	I		CDS	added		SAGA complex subunit (predicted); identified in targeted search for S. cerevisiae SGF11 ortholog			
SPAC57A7.12	I	ssz1	CDS	changed					
SPAC57A7.15c	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC589.02c	I	med13	CDS	changed					
SPAC5H10.06c	I	adh4	CDS	changed					
SPAC630.11	I	vps55	CDS	changed					
SPAC630.14c	I	tup12	CDS	changed					
SPAC631.02	I		CDS	changed					
SPAC637.09	I	rex1	CDS	changed					
SPAC664.02c	I	arp8	CDS	changed					
SPAC664.03	I		CDS	changed					
SPAC688.03c	I		CDS	changed					
SPAC688.04c	I	gst3	CDS	changed					
SPAC688.08	I	srb8	CDS	changed					
SPAC688.09	I	rim2	CDS	changed					
SPAC688.11	I	end4	CDS	changed					
SPAC688.14	I	set13	CDS	changed					
SPAC688.16	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC6B12.06c	I		CDS	added					
SPAC6B12.07c	I		CDS	changed					
SPAC6B12.18	I		CDS	added_and_changed		sequence orphan			
SPAC6B12.19	I	rsa3	CDS	added			PMID:21270388		
SPAC6C3.04	I	cit1	CDS	changed					
SPAC6F12.08c	I		CDS	changed					
SPAC6F6.16c	I	tpz1	CDS	changed_and_removed					
SPAC6F6.18c	I	mug169	CDS	added_and_merged	SPAC6F6.16c			merged with SPAC6F6.16c	PMID:18535244
SPAC6F6.19	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC6G10.08	I	idp1	CDS	changed					
SPAC6G9.03c	I	mug183	CDS	changed					
SPAC6G9.08	I	ubp6	CDS	changed					
SPAC6G9.13c	I	bqt1	CDS	changed					
SPAC6G9.16c	I		CDS	changed					
SPAC750.01	I		CDS	changed					
SPAC7D4.05	I		CDS	changed					
SPAC806.04c	I		CDS	changed					
SPAC806.06c	I		CDS	changed					
SPAC806.08c	I	mod21	CDS	changed					
SPAC806.11	I		CDS	added_and_changed					
SPAC821.07c	I	moc3	CDS	changed					
SPAC823.02	I		CDS	added_and_merged	SPAC823.17			deleted; replaced by SPAC823.17 at same locus, but in different frame	PMID:24929437
SPAC823.04	I	rrp36	CDS	changed					
SPAC823.09c	I		CDS	changed					
SPAC823.17	I		CDS	changed		identified by ribosome profiling	PMID:24929437		
SPAC869.11	I	cat1	CDS	changed					
SPAC890.07c	I	rmt1	CDS	changed					
SPAC8C9.11	I		CDS	changed					
SPAC8C9.19	I		CDS	added_and_changed		conserved protein; similar to D. hansenii DEHA0C10780g			
SPAC8C9.20	I		CDS	added_and_removed		sequence orphan		non consensus branch sites, and no coverage with transcriptome data	
SPAC8E11.02c	I		CDS,mRNA	changed					
SPAC8E11.03c	I	rad24	CDS,mRNA	added_changed_and_removed					
SPAC8E11.08c	I		CDS	added_and_changed					
SPAC8E11.09c	I		CDS	added_changed_and_removed				previously annotated as dubious but no evidence for splicing, and non-canonical splice sites; unsupported by Solexa transcript data	
SPAC8E11.12	I		CDS	added					
SPAC9.05	I		CDS	changed					
SPAC9.06c	I		CDS	changed					
SPAC9.12c	I	atp12	CDS	changed					
SPAC922.09	I		CDS	added					
SPAC926.10	I	new9	CDS	added			PMID:21270388		
SPAC959.05c	I		CDS	changed_and_removed					
SPAC959.06c	I		CDS	added_and_changed					
SPAC959.09c	I	apc5	CDS	changed					
SPAC959.10	I		CDS	added		tRNA splicing endonuclease; similar to S. cerevisiae YMR059W			
SPAC959.11	I		CDS	added					
SPAC977.04	I		CDS	changed					
SPAC977.18	I		CDS	added					
SPAC9E9.02	I		CDS	added_and_changed					
SPAC9E9.17c	I		CDS	changed					
SPAC9G1.13c	I		CDS	changed					
SPAC9G1.14	I		CDS	added					
SPAC9G1.15c	I	mzt1	CDS	added_and_changed			PMID:21270388		
SPACUNK4.14	I	mdb1	CDS	changed					
SPACUNK4.17	I		CDS	changed					
SPACUNK4.20	I		CDS	added					
SPAP27G11.05c	I	vps41	CDS	changed					
SPAP27G11.10c	I	nup184	CDS	changed					
SPAP4C9.02	I		CDS	added		Solexa prediction	PMID:18488015		
SPAP8A3.12c	I	tpp2	CDS	changed					
SPAPB15E9.01c	I		CDS	changed					
SPAPB15E9.02c	I		CDS	added					
SPAPB15E9.03c	I	Tf2-5	CDS	added					
SPAPB15E9.06	I		CDS	added					
SPAPB17E12.03	I		CDS	changed					
SPAPB17E12.06	I		CDS	changed					
SPAPB17E12.08	I		CDS	changed					
SPAPB17E12.14c	I		CDS	changed					
SPAPB18E9.01	I	trm5	CDS	added_and_changed					
SPAPB18E9.02c	I	ppk18	CDS	added_and_changed					
SPAPB18E9.03c	I		CDS	added_and_removed				dubious; unsupported by Solexa transcript data	
SPAPB18E9.04c	I		CDS	added					
SPAPB18E9.05c	I		CDS	added					
SPAPB1A10.03	I	nxt1	CDS	changed					
SPAPB1A10.05	I		CDS	changed					
SPAPB1A10.08	I		CDS	changed					
SPAPB1A10.15	I	arv1	CDS	changed					
SPAPB1A10.16	I		CDS	added_and_changed		conserved fungal protein; created from the C-term exon of SPAPB1A10.03			
SPAPB1A11.05	I		CDS	added_and_merged	SPAC31G5.01				
SPAPB1A11.06	I		CDS	added		previously SPNCRNA.31	PMID:26494834		
SPAPB1E7.05	I	gde1	CDS	changed					
SPAPB1E7.06c	I	eme1	CDS	changed					
SPAPB1E7.14	I	iec5	CDS	added_and_changed		Solexa prediction	PMID:18488015		
SPAPB24D3.03	I		CDS	changed					
SPAPB24D3.05c	I		CDS	changed					
SPAPB2B4.06	I		CDS	changed					
SPAPJ695.02	I		CDS	added					
SPAPYUG7.03c	I	mid2	CDS	changed					
SPAPYUG7.06	I		CDS	changed					
SPATRNAALA.01	I		tRNA	added					
SPATRNAALA.02	I		tRNA	added					
SPATRNAALA.03	I		tRNA	added					
SPATRNAALA.04	I		tRNA	added					
SPATRNAALA.05	I		tRNA	added					
SPATRNAALA.06	I		tRNA	added_and_changed					
SPATRNAARG.01	I		tRNA	added_and_changed					
SPATRNAARG.02	I		tRNA	added					
SPATRNAARG.03	I		tRNA	added					
SPATRNAASP.01	I		tRNA	added					
SPATRNAASP.02	I		tRNA	added					
SPATRNACYS.01	I		tRNA	added					
SPATRNACYS.02	I		tRNA	added					
SPATRNACYS.03	I		tRNA	added					
SPATRNAGLU.01	I		tRNA	added					
SPATRNAGLU.02	I		tRNA	added					
SPATRNAGLU.03	I		tRNA	added					
SPATRNAGLU.04	I		tRNA	added					
SPATRNAGLY.01	I		tRNA	added					
SPATRNAGLY.02	I		tRNA	added					
SPATRNAILE.01	I		tRNA	added					
SPATRNAILE.02	I		tRNA	added_and_changed					
SPATRNAILE.03	I		tRNA	added					
SPATRNAILE.04	I		tRNA	added					
SPATRNALEU.01	I		tRNA	added_and_changed					
SPATRNALEU.02	I		tRNA	added_and_changed					
SPATRNALEU.03	I		tRNA	added_and_changed					
SPATRNALEU.04	I		tRNA	added					
SPATRNALYS.01	I		tRNA	added_and_changed					
SPATRNALYS.02	I		tRNA	added					
SPATRNALYS.03	I		tRNA	added					
SPATRNALYS.04	I		tRNA	added_and_changed					
SPATRNALYS.05	I		tRNA	added_and_changed					
SPATRNAMET.01	I		tRNA	added					
SPATRNAMET.02	I		tRNA	added_and_changed					
SPATRNAMET.03	I		tRNA	added					
SPATRNAPHE.01	I		tRNA	added					
SPATRNAPHE.02	I		tRNA	added					
SPATRNAPRO.01	I		tRNA	added					
SPATRNAPRO.02	I	spl1	tRNA	added_and_changed					
SPATRNAPRO.03	I		tRNA	added					
SPATRNASER.01	I		tRNA	added_and_changed					
SPATRNASER.02	I		tRNA	added					
SPATRNASER.03	I		tRNA	added_and_changed					
SPATRNASER.04	I		tRNA	added					
SPATRNATHR.01	I		tRNA	added					
SPATRNATHR.02	I		tRNA	added					
SPATRNATHR.03	I		tRNA	added					
SPATRNATHR.04	I		tRNA	added					
SPATRNATHR.05	I		tRNA	added					
SPATRNATRP.01	I		tRNA	added					
SPATRNATYR.01	I		tRNA	added_and_changed					
SPATRNAVAL.01	I		tRNA	added					
SPATRNAVAL.02	I		tRNA	added					
SPATRNAVAL.03	I		tRNA	added_and_changed					
SPATRNAVAL.04	I		tRNA	added_and_changed					
SPBC106.04	II	ada1	CDS	changed					
SPBC106.05c	II	tim11	CDS	changed		proton-transporting ATP synthase complex, coupling factor F(o) (predicted); non-essential; similar to S. cerevisiae YDR322C-A; identified in targeted search for S. cerevisiae YDR322C-A ortholog	PMID:12618370		
SPBC106.15	II	idi1	CDS	changed					
SPBC1105.19	II	tam12	CDS	added			PMID:21270388		
SPBC119.04	II	mei3	CDS	removed					
SPBC119.04.1	II	mei3	CDS	added					
SPBC119.04.2	II	mei3	CDS	added					
SPBC1198.04c	II	zas1	CDS	removed					
SPBC1198.04c.1	II	zas1	CDS	added					
SPBC1198.04c.2	II	zas1	CDS	added					
SPBC1198.07c	II		CDS	changed					
SPBC1198.08	II		CDS	changed					
SPBC11B10.01	II	alg2	CDS	changed					
SPBC11B10.03	II	cog8	CDS	changed					
SPBC11B10.10c	II	pht1	CDS	changed					
SPBC11C11.01	II		CDS	changed					
SPBC11C11.04c	II	alp1	CDS	changed					
SPBC11C11.12	II		CDS	removed				cob intron fragment currently annotated as pseudogene	
SPBC1271.09	II	tgp1	CDS	changed					
SPBC1271.15c	II		CDS	changed					
SPBC1289.12	II	usp109	CDS	changed					
SPBC12D12.07c	II	trx2	CDS	changed					
SPBC12D12.09	II	rev7	CDS	changed					
SPBC1347.05c	II		CDS	changed					
SPBC1347.07	II	rex2	CDS	changed					
SPBC1347.14c	II		CDS	added		dubious			
SPBC1348.01	I		CDS	added_and_removed					
SPBC1348.02	I		CDS	added_and_removed					
SPBC1348.03	I		CDS	added_and_removed					
SPBC1348.04	I		CDS	added_and_removed					
SPBC1348.05	I		CDS	added_and_removed					
SPBC1348.06c	I		CDS	added_and_removed					
SPBC1348.07	I		CDS	added_and_removed					
SPBC1348.08c	I		CDS	added_and_removed					
SPBC1348.09	I		CDS	added_and_removed					
SPBC1348.10c	I		CDS	added_and_removed					
SPBC1348.11	II		CDS	added_changed_and_removed					
SPBC1348.12	II		CDS	added_changed_and_removed					
SPBC1348.13	II		CDS	changed_and_merged	SPNUMT.1			Coordinates updated; now annotated as nuclear mitochondrial pseudogene (SO:0001044)	
SPBC1348.14c	I		CDS	changed					
SPBC1348.15	II		CDS	added					
SPBC13A2.02	II	nup82	CDS	changed					
SPBC13E7.01	II	cwf22	CDS	changed					
SPBC13E7.04	II	atp16	CDS	changed					
SPBC13E7.07	II		CDS	added_and_removed					
SPBC13E7.10c	II	brf1	CDS	changed					
SPBC13G1.04c	II	abh1	CDS	changed					
SPBC13G1.12	II	did2	CDS	changed					
SPBC13G1.14c	II	rns1	CDS	changed					
SPBC13G1.16	II		CDS	added					
SPBC146.01	II	med15	CDS	changed					
SPBC146.11c	II	mug97	CDS	changed					
SPBC146.12	II	coq6	CDS	changed					
SPBC14C8.01c	II	cut2	CDS	changed					
SPBC14C8.08c	II		CDS	added_and_merged	SPBC14C8.09c			merged with SPBC14C8.09c; frameshifted	PMID:16823372
SPBC14C8.09c	II	dbl3	CDS	changed_and_removed					
SPBC14C8.11c	II		CDS	changed					
SPBC14C8.19	II	tam10	CDS	added			PMID:21270388		
SPBC15C4.02	II		CDS	changed					
SPBC15D4.02	II		CDS	changed					
SPBC15D4.13c	II		CDS	changed					
SPBC1604.04	II		CDS	changed					
SPBC1604.17c	II		CDS	changed					
SPBC1604.25	II		CDS	added		Solexa prediction	PMID:18488015		
SPBC1652.01	II		CDS	changed					
SPBC1685.12c	II		CDS	removed				not protein-coding	PMID:24929437, PMID:26615217
SPBC1685.16	II	vma9	CDS	added_and_changed					
SPBC1685.17	II		CDS	added					
SPBC16A3.01	II	spn3	CDS	changed					
SPBC16A3.14	II		CDS	changed					
