systematic_id	chromosome	primary_name	category	merged_into
SPAC16A10.06c	I	nse2	changed	
SPAC16E8.07c	I	vph1	changed	
SPAC16E8.10c	I		changed	
SPAC16E8.11c	I	tfb1	changed	
SPAC16E8.12c	I		changed	
SPAC16E8.18c	I	tam5	added	
SPAC1751.02c	I	rsm19	changed	
SPAC1751.04	I		changed	
SPAC1783.02c	I	vps66	changed	
SPAC17A2.08c	I		changed	
SPAC17A2.15	I		added_and_removed	
SPAC17A5.02c	I	dbr1	changed	
SPAC17A5.07c	I	ulp2	changed	
SPAC17A5.19	I		added	
SPAC17C9.08	I	pnu1	changed	
SPAC17D4.01	I		added	
SPAC17D4.04	I		changed	
SPAC17G6.02c	I	tco1	removed	
SPAC17G6.02c.1	I	tco1	added	
SPAC17G6.02c.2	I	tco1	added	
SPAC17G6.15c	I		changed	
SPAC17G6.16c	I	ysh1	changed	
SPAC17G8.01c	I	trl1	changed	
SPAC17G8.05	I	med20	changed	
SPAC17G8.09	I	shg1	changed	
SPAC17G8.15	I	new1	added_and_changed	
SPAC17H9.04c	I	dri1	changed	
SPAC17H9.20	I		changed	
SPAC1805.03c	I	trm13	changed	
SPAC1805.18	I	new2	added	
SPAC1834.13	I		added	
SPAC186.04c	I		changed	
SPAC18B11.03c	I		changed	
SPAC18B11.05	I	gpi18	changed	
SPAC18G6.04c	I	shm2	changed	
SPAC1952.03	I	otu2	changed	
SPAC1952.04c	I		changed	
SPAC1952.14c	I	mrpl25	changed	
SPAC1952.15c	I	rec24	changed	
SPAC1952.16	I	rga9	changed	
SPAC19A8.04	I	erg5	changed	
SPAC19A8.06	I	pbr1	changed	
SPAC19A8.16	I	prl65	added	
SPAC19B12.06c	I		changed	
SPAC19D5.10c	I		added	
SPAC19D5.11c	I		added	
SPAC19G12.07c	I	rsd1	changed	
SPAC19G12.17	I	new10	added_and_changed	
SPAC1A6.03c	I		changed	
SPAC1A6.10	I	tcd1	changed	
SPAC1B1.04c	I		changed	
SPAC1B2.03c	I	elo2	changed	
SPAC1B2.06	I		added	
SPAC1B3.04c	I		changed	
SPAC1B3.05	I	not3	changed	
SPAC1B3.10c	I		changed	
SPAC1B3.13	I		changed	
SPAC1B3.18c	I	mrps18	changed	
SPAC1B3.21	I	tam3	added	
SPAC1D4.01	I		changed	
SPAC1D4.07c	I		removed	
SPAC1D4.08	I	pis1	changed	
SPAC1D4.11c	I		changed	
SPAC1F12.03c	I		removed	
SPAC1F12.08	I		changed	
SPAC1F12.09	I	gpi17	changed	
SPAC1F7.05	I	cdc22	removed	
SPAC1F7.05.1	I	cdc22	added	
SPAC1F7.05.2	I	cdc22	added_and_removed	
SPAC1F7.14c	I	tam6	added	
SPAC1F8.07c	I		changed	
SPAC1F8.09c	I		added_and_removed	
SPAC20G4.09	I		added	
SPAC20H4.05c	I		changed	
SPAC20H4.09	I	gih35	changed	
SPAC212.05c	I		changed	
SPAC212.06c	I		changed	
SPAC212.10	I		changed	
SPAC212.12	I		added_and_changed	
SPAC21E11.05c	I		changed	
SPAC222.16c	I	csn3	changed	
SPAC222.17	I		added	
SPAC222.18	I		added	
SPAC222.19	I	tam1	added	
SPAC227.11c	I	yos9	changed	
SPAC227.19c	I		added	
SPAC22A12.08c	I	crd1	removed	
SPAC22A12.08c.1	I	crd1	added_and_changed	
SPAC22A12.08c.2	I	crd1	added_and_changed	
SPAC22A12.13	I	mug84	changed	
SPAC22E12.10c	I	etp1	changed	
SPAC22E12.12	I		removed	
SPAC22E12.15	I		removed	
SPAC22E12.17c	I	glo3	changed	
SPAC22F3.03c	I		changed	
SPAC22F3.04	I	mug62	changed	
SPAC22F3.11c	I	snu23	added_changed_and_removed	
SPAC22F3.15	I		added	
SPAC22F8.07c	I	rtf1	changed	
SPAC22F8.10c	I	sap145	changed	
SPAC22G7.04	I	ubp13	changed	
SPAC22G7.07c	I		changed	
SPAC22H10.02	I		changed	
SPAC22H10.03c	I	kap114	changed	
SPAC23A1.10	I	tef102	changed	
SPAC23A1.18c	I	mrp51	changed	
SPAC23A1.20	I	new11	added_and_changed	
SPAC23C11.04c	I	pnk1	changed	
SPAC23C11.10	I		changed	
SPAC23C11.17	I	mdm28	changed	
SPAC23C4.04c	I		added_and_changed	
SPAC23C4.08	I		changed	
SPAC23C4.17	I		changed	
SPAC23D3.08	I	usp108	changed	
SPAC23D3.09	I	arp42	changed	
SPAC23D3.16	I		added_and_changed	
SPAC23D3.17	I		added_and_changed	
SPAC23E2.02	I	lsd2	changed	
SPAC23H3.04	I		changed	
SPAC23H4.17c	I	srb10	changed	
SPAC23H4.21	I		added	
SPAC24B11.06c	I	sty1	changed	
SPAC24C9.06c	I		changed	
SPAC24C9.09	I		changed	
SPAC24H6.01c	I		changed	
SPAC24H6.06	I	sld3	changed	
SPAC25B8.06c	I		changed	
SPAC25B8.08	I		changed	
SPAC25B8.20	I		added	
SPAC25H1.10c	I	atp19	added_and_changed	
SPAC26A3.09c	I	rga2	changed	
SPAC26F1.02	I	pnn1	changed	
SPAC26F1.14c	I	aif1	changed	
SPAC26H5.02c	I		changed	
SPAC26H5.04	I		changed	
SPAC26H5.12	I	rpo41	changed	
SPAC27D7.04	I		added_and_removed	
SPAC27D7.09c	I		removed	
SPAC27D7.10c	I		added_and_removed	
SPAC27D7.12	I		added_and_removed	
SPAC27D7.12c	I	but1	changed	
SPAC27E2.12	I		added	
SPAC27E2.13	I		added_changed_and_removed	
SPAC27E2.14	I		added	
SPAC27F1.09c	I	prp10	changed	
SPAC27F1.09c.1	I	prp10	added_and_removed	
SPAC27F1.09c.2	I	prp10	added_and_removed	
SPAC27F1.09c.3	I	prp10	added_and_removed	
SPAC29A4.03c	I	mrps9	changed	
SPAC29A4.14c	I		changed	
SPAC29A4.22	I		added	
SPAC29A4.23	I		added_and_changed	
SPAC29B12.08	I		changed	
SPAC29B12.14c	I		changed	
SPAC29E6.03c	I	uso1	changed	
SPAC29E6.04	I	nnf1	changed	
SPAC2C4.06c	I		changed	
SPAC2C4.11c	I	rbp28	changed	
SPAC2C4.12c	I		changed	
SPAC2E12.02	I		added	
SPAC2E12.05	I	wtf1	changed	
SPAC2F3.12c	I		changed_and_removed	
SPAC2F3.13c	I		changed	
SPAC2F3.17c	I	lsm6	added	
SPAC2F3.18c	I		added_and_changed	
SPAC2F7.08c	I	snf5	changed	
SPAC2G11.09	I		changed	
SPAC2H10.04	I		added	
SPAC30.03c	I	tsn1	changed	
SPAC30C2.05	I	erv14	changed	
SPAC30D11.03	I	ddx27	changed	
SPAC31A2.05c	I	mis4	changed	
SPAC31A2.15c	I	dcc1	changed	
SPAC31G5.06	I		changed	
SPAC31G5.07	I		changed	
SPAC31G5.12c	I	maf1	changed	
SPAC31G5.15	I	psd3	changed	
SPAC323.01c	I	pos5	changed	
SPAC323.06c	I	uba5	changed	
SPAC328.05	I		changed	
SPAC343.08c	I	mrp17	changed	
SPAC343.16	I	lys2	changed	
SPAC343.21	I		added	
SPAC3A11.03	I		changed	
SPAC3A11.04	I		changed	
SPAC3A11.06	I	mvp1	changed	
SPAC3A11.09	I	sod22	changed	
SPAC3A12.04c	I	rpp1	changed	
SPAC3A12.05c	I	taf2	changed	
SPAC3A12.19	I		added	
SPAC3C7.07c	I		changed	
SPAC3F10.11c	I	abc2	changed	
SPAC3F10.19	I	spd2	added	
SPAC3G6.03c	I		changed	
SPAC3G9.17	I	new8	added	
SPAC3H1.05	I	ste24	changed	
SPAC3H1.12c	I	snt2	changed	
SPAC3H5.08c	I		changed	
SPAC3H5.09c	I		changed	
SPAC3H5.13	I	new4	added	
SPAC458.04c	I	dil1	changed	
SPAC458.07	I	tfa1	changed	
SPAC4A8.08c	I	vrs2	changed	
SPAC4A8.10	I		changed	
SPAC4C5.01	I		changed	
SPAC4D7.02c	I		changed	
SPAC4D7.07c	I		changed	
SPAC4D7.09	I	tif223	changed	
SPAC4D7.14	I	new13	added	
SPAC4D7.15	I	new12	added	
SPAC4F10.02	I	aap1	changed	
SPAC4F10.08	I	mug126	changed	
SPAC4F10.22	I	cmc4	added	
SPAC4F8.06	I		changed	
SPAC4G8.07c	I	trm2	changed	
SPAC4G8.15c	I		removed	
SPAC4G9.11c	I	cmb1	changed	
SPAC4G9.20c	I		changed	
SPAC4G9.22	I		added_and_changed	
SPAC4H3.06	I		changed	
SPAC4H3.07c	I		changed	
SPAC4H3.12c	I		removed	
SPAC4H3.16	I		added_and_changed	
SPAC4H3.17	I		added	
SPAC521.02	I	wss1	changed	
SPAC56E4.04c	I	cut6	changed	
SPAC56F8.04c	I	ppt1	changed	
SPAC56F8.05c	I	mug64	changed	
SPAC57A10.04	I	mug10	changed	
SPAC57A10.14	I		added	
SPAC57A7.12	I	ssz1	changed	
SPAC57A7.15c	I		added	
SPAC589.02c	I	med13	changed	
SPAC5H10.06c	I	adh4	changed	
SPAC630.11	I	vps55	changed	
SPAC630.14c	I	tup12	changed	
SPAC631.02	I		changed	
SPAC637.09	I	rex1	changed	
SPAC664.02c	I	arp8	changed	
SPAC664.03	I		changed	
SPAC688.03c	I		changed	
SPAC688.04c	I	gst3	changed	
SPAC688.08	I	srb8	changed	
SPAC688.09	I	rim2	changed	
SPAC688.11	I	end4	changed	
SPAC688.14	I	set13	changed	
SPAC688.16	I		added	
SPAC6B12.06c	I		added	
SPAC6B12.07c	I		changed	
SPAC6B12.18	I		added_and_changed	
SPAC6B12.19	I	rsa3	added	
SPAC6C3.04	I	cit1	changed	
SPAC6F12.08c	I		changed	
SPAC6F6.16c	I	tpz1	changed_and_removed	
SPAC6F6.18c	I	mug169	added_and_removed	
SPAC6F6.19	I		added	
SPAC6G10.08	I	idp1	changed	
SPAC6G9.03c	I	mug183	changed	
SPAC6G9.08	I	ubp6	changed	
SPAC6G9.13c	I	bqt1	changed	
SPAC6G9.16c	I		changed	
SPAC750.01	I		changed	
SPAC7D4.05	I		changed	
SPAC806.04c	I		changed	
SPAC806.06c	I		changed	
SPAC806.08c	I	mod21	changed	
SPAC806.11	I		added_and_changed	
SPAC821.07c	I	moc3	changed	
SPAC823.02	I		added_and_removed	
SPAC823.04	I	rrp36	changed	
SPAC823.09c	I		changed	
SPAC823.17	I		changed	
SPAC869.11	I	cat1	changed	
SPAC890.07c	I	rmt1	changed	
SPAC8C9.11	I		changed	
SPAC8C9.19	I		added_and_changed	
SPAC8C9.20	I		added_and_removed	
SPAC8E11.02c	I		changed	
SPAC8E11.03c	I	rad24	added_changed_and_removed	
SPAC8E11.08c	I		added_and_changed	
SPAC8E11.09c	I		added_changed_and_removed	
SPAC8E11.12	I		added	
SPAC9.05	I		changed	
SPAC9.06c	I		changed	
SPAC9.12c	I	atp12	changed	
SPAC922.09	I		added	
SPAC926.10	I	new9	added	
SPAC959.05c	I		changed_and_removed	
SPAC959.06c	I		added_and_changed	
SPAC959.09c	I	apc5	changed	
SPAC959.10	I		added	
SPAC959.11	I		added	
SPAC977.04	I		changed	
SPAC977.18	I		added	
SPAC9E9.02	I		added_and_changed	
SPAC9E9.17c	I		changed	
SPAC9G1.13c	I		changed	
SPAC9G1.14	I		added	
SPAC9G1.15c	I	mzt1	added_and_changed	
SPACUNK4.14	I	mdb1	changed	
SPACUNK4.17	I		changed	
SPACUNK4.20	I		added	
SPAP27G11.05c	I	vps41	changed	
SPAP27G11.10c	I	nup184	changed	
SPAP4C9.02	I		added	
SPAP8A3.12c	I	tpp2	changed	
SPAPB15E9.01c	I		changed	
SPAPB15E9.02c	I		added	
SPAPB15E9.03c	I	Tf2-5	added	
SPAPB15E9.06	I		added	
SPAPB17E12.03	I		changed	
SPAPB17E12.06	I		changed	
SPAPB17E12.08	I		changed	
SPAPB17E12.14c	I		changed	
SPAPB18E9.01	I	trm5	added_and_changed	
SPAPB18E9.02c	I	ppk18	added_and_changed	
SPAPB18E9.03c	I		added_and_removed	
SPAPB18E9.04c	I		added	
SPAPB18E9.05c	I		added	
SPAPB1A10.03	I	nxt1	changed	
SPAPB1A10.05	I		changed	
SPAPB1A10.08	I		changed	
SPAPB1A10.15	I	arv1	changed	
SPAPB1A10.16	I		added_and_changed	
SPAPB1A11.05	I		added_and_removed	
SPAPB1A11.06	I		added	
SPAPB1E7.06c	I	eme1	changed	
SPAPB1E7.14	I	iec5	added_and_changed	
SPAPB24D3.03	I		changed	
SPAPB24D3.05c	I		changed	
SPAPB2B4.06	I		changed	
SPAPJ695.02	I		added	
SPAPYUG7.03c	I	mid2	changed	
SPAPYUG7.06	I		changed	
SPATRNAALA.01	I		added	
SPATRNAALA.02	I		added	
SPATRNAALA.03	I		added	
SPATRNAALA.04	I		added	
SPATRNAALA.05	I		added	
SPATRNAALA.06	I		added_and_changed	
SPATRNAARG.01	I		added_and_changed	
SPATRNAARG.02	I		added	
SPATRNAARG.03	I		added	
SPATRNAASP.01	I		added	
SPATRNAASP.02	I		added	
SPATRNACYS.01	I		added	
SPATRNACYS.02	I		added	
SPATRNACYS.03	I		added	
SPATRNAGLU.01	I		added	
SPATRNAGLU.02	I		added	
SPATRNAGLU.03	I		added	
SPATRNAGLU.04	I		added	
SPATRNAGLY.01	I		added	
SPATRNAGLY.02	I		added	
SPATRNAILE.01	I		added	
SPATRNAILE.02	I		added_and_changed	
SPATRNAILE.03	I		added	
SPATRNAILE.04	I		added	
SPATRNALEU.01	I		added_and_changed	
SPATRNALEU.02	I		added_and_changed	
SPATRNALEU.03	I		added_and_changed	
SPATRNALEU.04	I		added	
SPATRNALYS.01	I		added_and_changed	
SPATRNALYS.02	I		added	
SPATRNALYS.03	I		added	
SPATRNALYS.04	I		added_and_changed	
SPATRNALYS.05	I		added_and_changed	
SPATRNAMET.01	I		added	
SPATRNAMET.02	I		added_and_changed	
SPATRNAMET.03	I		added	
SPATRNAPHE.01	I		added	
SPATRNAPHE.02	I		added	
SPATRNAPRO.01	I		added	
SPATRNAPRO.02	I	spl1	added_and_changed	
SPATRNAPRO.03	I		added	
SPATRNASER.01	I		added_and_changed	
SPATRNASER.02	I		added	
SPATRNASER.03	I		added_and_changed	
SPATRNASER.04	I		added	
SPATRNATHR.01	I		added	
SPATRNATHR.02	I		added	
SPATRNATHR.03	I		added	
SPATRNATHR.04	I		added	
SPATRNATHR.05	I		added	
SPATRNATRP.01	I		added	
SPATRNATYR.01	I		added_and_changed	
SPATRNAVAL.01	I		added	
SPATRNAVAL.02	I		added	
SPATRNAVAL.03	I		added_and_changed	
SPATRNAVAL.04	I		added_and_changed	
SPBC106.04	II	ada1	changed	
SPBC106.05c	II	tim11	changed	
SPBC106.15	II	idi1	changed	
SPBC1105.19	II	tam12	added	
SPBC119.04	II	mei3	removed	
SPBC119.04.1	II	mei3	added	
SPBC119.04.2	II	mei3	added	
SPBC1198.04c	II	zas1	removed	
SPBC1198.04c.1	II	zas1	added	
SPBC1198.04c.2	II	zas1	added	
SPBC1198.07c	II		changed	
SPBC1198.08	II		changed	
SPBC11B10.01	II	alg2	changed	
SPBC11B10.03	II	cog8	changed	
SPBC11B10.10c	II	pht1	changed	
SPBC11C11.01	II		changed	
SPBC11C11.04c	II	alp1	changed	
SPBC11C11.12	II		removed	
SPBC1271.09	II	tgp1	changed	
SPBC1271.15c	II		changed	
SPBC1289.12	II	usp109	changed	
SPBC12D12.07c	II	trx2	changed	
SPBC12D12.09	II	rev7	changed	
SPBC1347.05c	II		changed	
SPBC1347.07	II	rex2	changed	
SPBC1347.14c	II		added	
SPBC1348.01	I		added_and_removed	
SPBC1348.02	I		added_and_removed	
SPBC1348.03	I		added_and_removed	
SPBC1348.04	I		added_and_removed	
SPBC1348.05	I		added_and_removed	
SPBC1348.06c	I		added_and_removed	
SPBC1348.07	I		added_and_removed	
SPBC1348.08c	I		added_and_removed	
SPBC1348.09	I		added_and_removed	
SPBC1348.10c	I		added_and_removed	
SPBC1348.11	II		added_changed_and_removed	
SPBC1348.12	II		added_changed_and_removed	
SPBC1348.13	II		changed_and_removed	
SPBC1348.14c	I		changed	
SPBC1348.15	II		added	
SPBC13A2.02	II	nup82	changed	
SPBC13E7.01	II	cwf22	changed	
SPBC13E7.04	II	atp16	changed	
SPBC13E7.07	II		added_and_removed	
SPBC13E7.10c	II	brf1	changed	
SPBC13G1.04c	II	abh1	changed	
SPBC13G1.12	II	did2	changed	
SPBC13G1.14c	II	rns1	changed	
SPBC13G1.16	II		added	
SPBC146.01	II	med15	changed	
SPBC146.11c	II	mug97	changed	
SPBC146.12	II	coq6	changed	
SPBC14C8.01c	II	cut2	changed	
SPBC14C8.08c	II		added_and_removed	
SPBC14C8.09c	II	dbl3	changed_and_removed	
SPBC14C8.11c	II		changed	
SPBC14C8.19	II	tam10	added	
SPBC15C4.02	II		changed	
SPBC15D4.02	II		changed	
SPBC15D4.13c	II		changed	
SPBC1604.04	II		changed	
SPBC1604.17c	II		changed	
SPBC1604.25	II		added	
SPBC1652.01	II		changed	
SPBC1685.12c	II		removed	
SPBC1685.16	II	vma9	added_and_changed	
SPBC1685.17	II		added	
SPBC16A3.01	II	spn3	changed	
SPBC16A3.14	II		changed	
SPBC16C6.02c	II	vps1302	changed	
SPBC16C6.03c	II		changed	
SPBC16C6.14	II	spo2	added	
SPBC16D10.02	II	trm11	changed	
SPBC16D10.04c	II	dna2	changed	
SPBC16D10.07c	II		changed	
SPBC16D10.10	II	tad2	changed	
SPBC16E9.16c	II	lsd90	changed	
SPBC16E9.19	II		changed	
SPBC16E9.20	II		added	
SPBC16H5.04	II		changed	
SPBC16H5.11c	II	skb1	changed	
SPBC16H5.12c	II		changed	
SPBC1703.05	II		changed	
SPBC1703.06	II	pof10	changed	
SPBC1706.01	II	tea4	changed	
SPBC1706.02c	II	wtf2	changed	
SPBC1709.03	II		changed	
SPBC1709.12	II	rid1	changed	
SPBC1709.16c	II		changed	
SPBC1709.17	II	met7	changed	
SPBC1711.09c	II		changed	
SPBC1711.10c	II	npl4	changed	
SPBC1711.18	II	tam9	added	
SPBC1734.03	II		changed	
SPBC1773.08c	II	omh4	changed	
SPBC1778.05c	II		changed	
SPBC1778.10c	II	ppk21	changed	
SPBC17A3.03c	II		changed	
SPBC17A3.07	II	pgr1	removed	
SPBC17A3.07.1	II	pgr1	added	
SPBC17A3.07.2	II	pgr1	added	
SPBC17D1.01	II	spp41	changed	
SPBC17D1.07c	II		changed	
SPBC17D1.17	II	tam11	added	
SPBC17G9.09	II	tif213	changed	
SPBC1861.08c	II	lea1	changed	
SPBC18E5.09c	II		changed	
SPBC18E5.12c	II	mas2	changed	
SPBC18E5.14c	II		changed	
SPBC18E5.15	II		changed	
SPBC18H10.08c	II	ubp4	changed	
SPBC18H10.09	II		changed	
SPBC18H10.10c	II	saf4	changed	
SPBC18H10.19	II	atg14	changed	
SPBC18H10.21c	II		removed	
SPBC19C7.11	II		changed	
SPBC19F8.07	II	mcs6	added_changed_and_removed	
SPBC19G7.01c	II	msh2	changed	
"SPBC19G7.01c /controlled_curation=""term=disease associated, cancer; date=20060724"	II	msh2	added_and_removed	
SPBC19G7.04	II		changed	
SPBC19G7.06	II	mbx1	changed	
SPBC19G7.10c	II		changed	
SPBC19G7.18c	II		changed	
SPBC19G7.19	II		added	
SPBC1A4.06c	II	tam41	changed	
SPBC1E8.03c	II		changed	
SPBC1E8.04	II	Tf2-10	changed	
SPBC20F10.04c	II	nse4	changed	
SPBC21.03c	II		changed	
SPBC211.01	II	rsm10	changed	
SPBC215.06c	II		changed	
SPBC215.12	II	cwf10	changed	
SPBC21B10.02	II		changed	
SPBC21B10.12	II	rec6	changed	
SPBC21B10.14	II	ymr31	added	
SPBC21B10.15	II		added	
SPBC21C3.03	II		changed	
SPBC21C3.07c	II		changed	
SPBC21D10.11c	II	nfs1	changed	
SPBC23G7.06c	II		changed	
SPBC24C6.13	II	new16	added	
SPBC24E9.15c	I	ef1a-b	added_and_removed	
SPBC25B2.07c	II	mmb1	changed	
SPBC25D12.05	II	trm1	changed	
SPBC25D12.06	II		changed	
SPBC25H2.10c	II		changed	
SPBC25H2.11c	II	spt7	changed	
SPBC25H2.18	II	cox20	added	
SPBC26H8.16	II		added	
SPBC27B12.01c	II	mmm1	changed	
SPBC27B12.02	II		changed	
SPBC27B12.05	II		changed	
SPBC27B12.10c	II	tom7	changed	
SPBC29A10.04	II	psm1	changed	
SPBC29A10.06c	II		changed	
SPBC29A10.17	II		added_and_changed	
SPBC29A3.06	II		changed	
SPBC29A3.07c	II		changed	
SPBC29A3.08	II	pof4	changed	
SPBC2A9.05c	II	tvp23	changed	
SPBC2A9.07c	II		changed	
SPBC2A9.08c	II	sec22	changed	
SPBC2A9.14	II		added	
SPBC2D10.10c.2	II	fib1	added_and_removed	
SPBC2D10.10c.3	II	fib1	added_and_removed	
SPBC2D10.15c	II		changed	
SPBC2D10.16	II		changed	
SPBC2F12.10	II		changed	
SPBC2F12.17	II	cox7	added	
SPBC2G2.08	II	ade9	changed	
SPBC2G2.09c	II	crs1	changed	
SPBC2G2.12	II	hrs1	changed	
SPBC2G2.13c	II		changed	
SPBC30B4.01c	II		changed	
SPBC30B4.08	II	eri1	changed	
SPBC30B4.09	II		added	
SPBC30D10.04	II		changed	
SPBC30D10.08	II	mgm101	changed	
SPBC30D10.09c	II	hva22	added_changed_and_removed	
SPBC30D10.16	II	pha2	changed	
SPBC30D10.21	II	new18	added	
SPBC31A8.02	II		added_and_changed	
SPBC31E1.04	II	pep12	changed	
SPBC31F10.08	II	mde2	changed	
SPBC31F10.09c	II	nut2	changed	
SPBC31F10.12	II		changed	
SPBC31F10.16	II		changed	
SPBC31F10.17c	II		changed	
SPBC32F12.08c	II	duo1	changed	
SPBC32F12.16	II	new17	added	
SPBC32F12.17	II		added_and_removed	
SPBC32H8.08c	II	omh5	changed	
SPBC32H8.15	II		added	
SPBC336.10c	II	tif512	changed	
SPBC336.16	II		added	
SPBC337.02c	II		changed	
SPBC337.12	II		changed	
SPBC337.16	II	cho1	changed	
SPBC354.06	II	mrps16	changed	
SPBC354.07c	II		changed	
SPBC354.11c	II		removed	
SPBC36.13	II		added_and_removed	
SPBC36B7.06c	II	mug20	changed	
SPBC3B8.10	II	ina17	added	
SPBC3B9.22c	II	dad4	added_and_changed	
SPBC3D6.04c	II	mad1	changed	
SPBC3D6.16	II		added	
SPBC3E7.04c	II		changed	
SPBC3E7.17	II		added	
SPBC3H7.18	II	tam8	added	
SPBC4.02c	II		changed	
SPBC409.12c	II		changed	
SPBC409.23	II	tam7	added	
SPBC428.01c	II	nup107	changed	
SPBC428.02c	II	eca39	changed	
SPBC428.06c	II	rxt2	changed	
SPBC428.10	II		changed	
SPBC428.18	II	cdt1	changed	
SPBC428.20c	II	alp6	changed	
SPBC4F6.10	II	vps901	changed	
SPBC4F6.13c	II		changed	
SPBC530.05	II		changed	
SPBC530.06c	II		changed	
SPBC530.12c	II	pdf1	changed	
SPBC530.13	II	lsc1	changed	
SPBC530.16	II	ksh1	added	
SPBC56F2.11	II	met6	changed	
SPBC56F2.14	II	mrpl44	added	
SPBC56F2.15	II	tam13	added	
SPBC577.05c	II	rec27	changed_and_removed	
SPBC582.04c	II		changed	
SPBC582.05c	II	brc1	changed	
SPBC582.07c	II	rpn7	changed	
SPBC582.08	II	alt1	changed	
SPBC646.06c	II	agn2	changed	
SPBC646.15c	II		changed	
SPBC651.06	II	mug166	changed	
SPBC651.07	II		changed	
SPBC660.08	II		changed	
SPBC660.11	II	tcg1	changed	
SPBC685.09	II	orc2	changed	
SPBC691.05c	II	ist2	changed	
SPBC6B1.09c	II		changed	
SPBC6B1.12c	II		added	
SPBC713.11c	II	pmp3	changed	
SPBC713.13	II		added_and_removed	
SPBC713.14c	II		added	
SPBC725.04	II		changed	
SPBC725.10	II		changed	
SPBC725.12	II	nbl1	changed	
SPBC776.02c	II	dis2	changed	
SPBC776.02c.1	II	dis2	added_and_removed	
SPBC776.02c.2	II	dis2	added_and_removed	
SPBC776.05	II		changed	
SPBC776.06c	II		changed	
SPBC776.14	II	plh1	changed	
SPBC776.17	II		changed	
SPBC800.02	II	whi5	changed	
SPBC83.01	II	ucp8	changed	
SPBC83.06c	II		changed	
SPBC83.11	II		changed	
SPBC839.02	II		changed	
SPBC839.19	II	new20	added	
SPBC839.20	II	new14	added	
SPBC887.02	II		changed	
SPBC887.04c	II	lub1	changed	
SPBC887.07	II	mrpl38	changed	
SPBC887.22	II	new19	added	
SPBC8D2.03c	II		changed	
SPBC8D2.10c	II	rmt3	changed	
SPBC8D2.17	II		changed	
SPBC8D2.23	II	new15	added	
SPBC8E4.02c	II	prt2	added_changed_and_removed	
SPBC8E4.12c	II	ecl3	added	
SPBC902.05c	II	idh2	changed	
SPBC947.03c	II	naa38	changed	
SPBC947.10	II	dsc1	changed	
SPBC9B6.06	II	mrpl10	changed	
SPBCPT2R1.02	II		added	
SPBCPT2R1.03	II		added	
SPBCPT2R1.04c	II		added	
SPBCPT2R1.05c	II		added	
SPBCPT2R1.06c	II		added	
SPBCPT2R1.07c	II		added_and_changed	
