systematic_id	chromosome	primary_name	feature_type	category	merged_into	earliest_change	latest_change	latest_coords	comment_addition	reference_addition	comment_removal	reference_removal
SPAC10F6.11c	I	atg17	CDS	changed		2011-03-24	2011-03-24	complement(1227416..1228651)				
SPAC110.05	I		CDS	added_changed_and_merged	SPAC110.06	2011-03-24	2016-07-14	complement(1905728..1905820)				PomBase curators
SPAC110.06	I		CDS	added_and_changed		2014-07-04	2016-07-14	complement(1905728..1905820)	identified by ribosome profiling|F1F0 ATPase synthase peripheral stalk assembly factor Ina17 (predicted)	PMID:24929437,PMID:26494834		
SPAC1142.01	I		CDS	changed		2008-01-23	2008-01-23	3625574..3627544				
SPAC11D3.01c	I		CDS	changed		2007-01-11	2007-01-30	complement(108908..109147)				
SPAC11D3.02c	I		CDS	changed		2007-01-11	2007-01-30	complement(109829..110281)				
SPAC11D3.07c	I		CDS	changed		2008-01-23	2008-01-23	complement(118195..120108)				
SPAC11D3.11c	I		CDS	changed		2007-06-20	2011-02-04	complement(join(128025..129059,129103..129127,129172..129185))	pseudo to coding			
SPAC11D3.19	I		CDS	added		2011-03-24	2011-03-24	106965..107198		PMID:21511999		
SPAC11D3.20	I		CDS	added		2015-11-28	2015-11-28	127230..127316		PMID:26494834		
SPAC11E3.03	I	pcs1	CDS	changed		2003-08-14	2011-03-24	join(5286130..5286181,5286221..5286562,5286609..5286821,5286877..5287055)				
SPAC1250.04	I	atl1	CDS	added_and_removed		2006-09-05	2006-11-20	5098013..5098339				PomBase curators
SPAC1250.04c	I	atl1	CDS	changed		2006-09-05	2006-11-20	5098013..5098339				
SPAC1250.07	I		CDS	added		2007-04-23	2007-04-23	complement(5097850..5098212)	dubious|TFIIIC subunit Tfc7	PMID:17409385		
SPAC1296.04	I		CDS	changed		2002-09-05	2002-09-05	join(766918..766973,767021..767159,767432..767584,767661..768059)				
SPAC1296.06	I	tah18	CDS	changed		2011-03-24	2011-03-24	join(719447..719581,719663..719740,719791..719888,719926..720024,720066..721410)				
SPAC12B10.09	I	pet801	CDS	changed		2017-04-12	2017-04-12	join(4588487..4588510,4588567..4588723,4588869..4589323,4589410..4589574)				
SPAC12D12.09	II	rev7	CDS	changed_and_merged	SPBC12D12.09	2006-02-19	2008-01-23	join(2313544..2313574,2313624..2313650,2313694..2313744,2313785..2313897,2313940..2314055,2314104..2314207,2314277..2314476)				PomBase curators
SPAC12G12.13c	I		CDS	changed		2005-07-05	2005-07-05	322824..324878				
SPAC12G12.15	I	sif3	CDS	changed		2011-03-24	2011-03-24	complement(join(317431..317469,317514..318172,318221..318941))				
SPAC12G12.17	I		CDS	added		2008-05-12	2008-05-12	join(333214..333239,333291..333441)	Solexa prediction	PMID:18488015		
SPAC1399.06	I		CDS	added		2011-03-24	2011-03-24	complement(1849984..1850358)		PMID:21511999		
SPAC13F5.04c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(2177582..2178355,2178693..2178887,2179020..2179117,2179380..2179482))				
SPAC13F5.07c	I		CDS	changed		2011-02-04	2011-02-04	complement(join(2184865..2185282,2185472..2185551))				
SPAC13F5.08	I	vts1	CDS	added_and_merged	SPAC13F5.04c	2011-02-04	2011-03-24	complement(join(2178651..2178887,2179020..2179117,2179380..2179482))		PMID:21270388		PomBase curators
SPAC13G6.04	I	tim8	CDS	changed		2008-01-23	2008-01-23	join(180423..180528,180586..180721,180890..180911)				
SPAC13G6.05c	I	trs33	CDS	changed		2011-03-24	2011-03-24	complement(join(181077..181436,181485..181574,181632..181749,182001..182194))				
SPAC13G6.06c	I	gcv2	CDS	changed		2011-03-24	2011-03-24	complement(182976..186071)				
SPAC13G7.07	I	arb2	CDS	changed		2007-04-12	2011-03-24	join(2309026..2309212,2309259..2309569,2309610..2309667,2309714..2309946,2309998..2310088,2310130..2310215)				
SPAC140.01	I	sdh2	CDS	changed		2011-03-24	2011-03-24	1895464..1896291				
SPAC144.06	I	apl5	CDS	changed		2011-03-24	2011-03-24	join(4664387..4664545,4664586..4664747,4664799..4666668,4666714..4666976,4667016..4667039)				
SPAC144.11	I	rps1102	CDS	changed		2025-01-17	2025-02-12	4674612..4675070				
SPAC144.17c	I		CDS	changed		2008-01-23	2008-01-23	complement(join(4687388..4687477,4687522..4688462,4688513..4688831))				
SPAC144.19	I	prl46	CDS	added		2020-09-09	2020-09-09	complement(4651624..4651884)		PMID:32594847		
SPAC1486.05	I	nup189	CDS	changed		2015-04-14	2017-04-12	join(3197028..3197529,3197529..3202450)				
SPAC1486.11	I	fmc1	CDS	added		2011-02-04	2011-02-04	join(3202780..3202833,3202877..3203137)		PMID:21270388		
SPAC14C4.02c	I	smc5	CDS	changed		2011-03-24	2011-03-24	complement(join(5226406..5229417,5229467..5229632,5229701..5229753))				
SPAC14C4.08	I	mug5	CDS	changed		2011-03-24	2011-03-24	5243053..5243610				
SPAC14C4.09	I	agn1	CDS,CDS_AFTER	changed		2004-09-15	2011-08-31	5244207..5245481				
SPAC14C4.16	I		CDS	added		2004-09-15	2004-09-15	join(5230725..5230802,5230840..5231022)	hypothetical protein; sequence orphan; identified in targeted search for S. cerevisiae DAD3 ortholog	PMID:30566651		
SPAC1556.01c	I	rad50	CDS	changed		2008-01-23	2008-01-23	complement(join(3791831..3791851,3791891..3792229,3792267..3795557,3795601..3795684,3795734..3795856))				
SPAC1556.03	I	azr1	CDS	changed		2008-01-23	2008-01-23	join(3799244..3799680,3799731..3800135,3800184..3800241)				
SPAC1556.06	I	meu1	CDS	changed		2006-02-19	2019-09-26	multi-transcript	Solexa prediction	PMID:18488015		
SPAC1565.08	I	cdc48	CDS	changed		2022-04-03	2022-04-03	join(1306457..1306512,1306569..1308942)				
SPAC15A10.06	I		CDS	changed		2011-03-24	2011-03-24	join(3688782..3688806,3689322..3689638,3689722..3690441,3690484..3691125)				
SPAC15A10.07	I		CDS	changed		2011-03-24	2011-03-24	3691391..3691879				
SPAC15A10.10	I	mde6	CDS	changed		2008-01-23	2008-01-23	join(3697508..3697752,3697795..3698368,3698421..3698527,3698570..3699310,3699359..3699538,3699582..3699837)				
SPAC15A10.12c	I		CDS	changed		2008-01-23	2008-01-23	complement(join(3709206..3709346,3709499..3709804))				
SPAC15A10.17	I	coa2	CDS	added		2011-02-04	2011-02-04	3688045..3688305		PMID:21270388		
SPAC1610.03c	I		CDS	changed		2002-03-22	2002-03-22	complement(join(1822269..1823627,1823699..1824173,1824265..1824442,1824528..1824648))				
SPAC1639.01c	I		CDS	changed		2007-12-19	2011-03-24	complement(join(251726..252337,252392..252752,253590..253714))				
SPAC1639.02c	I	trk2	CDS	changed		2011-03-24	2011-03-24	complement(join(256030..256134,256345..256370,256427..256445,256542..256612,256684..256750,256797..257009,257055..257070,257116..257135,257179..257181,257229..258184,258220..259120,259161..259315,259356..259461))				
SPAC167.04	I	pam17	CDS	changed		2011-03-24	2022-04-03	complement(join(1554001..1554072,1554135..1554166,1554214..1554292,1554381..1554791))				
SPAC167.09	I		CDS	added_and_changed		2008-05-12	2011-03-24	join(1558670..1558957,1559007..1559127,1559174..1559301)	Solexa prediction	PMID:18488015		
SPAC1687.17c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(935249..935668,935747..935812,935860..935899,935943..935989))				
SPAC16A10.03c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(3081568..3083850,3083902..3084081,3084125..3084190,3084230..3084244))				
SPAC16A10.04	I		CDS	changed		2003-08-14	2004-09-15	join(3087938..3087971,3088027..3088068,3088130..3088176,3088284..3088487,3088604..3088738,3088795..3088944)				
SPAC16A10.05c	I	dad1	CDS	changed		2011-03-24	2011-03-24	complement(3089053..3089325)				
SPAC16A10.06c	I	nse2	CDS	changed		2005-07-05	2011-03-24	complement(join(3089583..3090047,3090163..3090285,3090533..3090697))				
SPAC16E8.07c	I	vph1	CDS	changed		2011-03-24	2011-03-24	complement(join(3510419..3512794,3512848..3512948,3513001..3513019))				
SPAC16E8.10c	I		CDS	changed		2005-07-05	2005-07-05	complement(join(3519794..3520039,3520127..3520660))				
SPAC16E8.11c	I	tfb1	CDS	changed		2011-03-24	2011-03-24	complement(join(3520542..3520619,3520663..3521206,3521264..3521447,3521493..3522155,3522201..3522287,3522325..3522370))				
SPAC16E8.12c	I		CDS	changed		2008-01-23	2008-01-23	complement(join(3523136..3523644,3523925..3523996,3524044..3524098))				
SPAC16E8.18c	I	tam5	CDS	added		2011-02-04	2011-02-04	complement(join(3534358..3534738,3534877..3534966))		PMID:21270388		
SPAC1751.02c	I	rsm19	CDS	changed		2008-01-23	2008-01-23	complement(join(385755..385887,385938..386043,386107..386149))				
SPAC1751.04	I		CDS	changed		2011-03-24	2011-03-24	join(384320..384349,384480..384590,384986..385060,385125..385220)	hypothetical protein; sequence orphan			
SPAC1783.02c	I	vps66	CDS	changed		2011-03-24	2011-03-24	complement(join(2189507..2189845,2189907..2190180,2190245..2190509,2190697..2190721))				
SPAC17A2.08c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(3568267..3569092,3569141..3569226,3569292..3569368,3569443..3569539))				
SPAC17A2.15	I		CDS	added_and_removed		2004-09-15	2011-03-24	join(3569155..3569235,3569383..3569511)			was on the reverse strand of the N-terminal extension of SPAC17A2.08	PomBase curators
SPAC17A5.02c	I	dbr1	CDS	changed		2008-01-23	2022-04-03	complement(join(1754033..1754145,1754186..1754310,1754350..1755118,1755164..1755285,1755331..1755593))				
SPAC17A5.07c	I	ulp2	CDS	changed		2011-03-24	2011-03-24	complement(join(1764336..1764792,1764877..1765113,1765168..1765272,1765342..1766188,1766337..1766530,1766589..1766644,1766691..1766711))				
SPAC17A5.19	I		CDS	added		2011-03-24	2011-03-24	join(1761133..1761231,1761276..1761455)		PMID:21511999		
SPAC17C9.08	I	pnu1	CDS	changed		2007-12-19	2007-12-19	complement(join(4484835..4485274,4485350..4485596,4485713..4485994))				
SPAC17D4.04	I		CDS	changed		2011-03-24	2011-03-24	join(4729751..4729783,4729834..4729880,4729920..4730042,4730088..4731893,4731938..4731995)				
SPAC17G6.02c	I	tco1	CDS	changed		2020-09-24	2022-12-20	multi-transcript				
SPAC17G6.15c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(3619344..3619703,3619808..3620143,3620184..3620257,3620371..3620480,3620529..3620554,3620595..3620657))				
SPAC17G6.16c	I	ysh1	CDS	changed		2011-03-24	2011-03-24	complement(join(3621007..3621470,3621514..3622060,3622105..3623005,3623047..3623175,3623309..3623406,3623456..3623542,3623597..3623644))				
SPAC17G8.01c	I	trl1	CDS	changed		2017-04-04	2017-04-04	complement(join(2341346..2343703,2343703..2343756))				
SPAC17G8.05	I	med20	CDS	changed		2011-03-24	2011-03-24	join(2350327..2350340,2350383..2350471,2350541..2351019)				
SPAC17G8.09	I	shg1	CDS	changed		2011-03-24	2011-03-24	join(2357361..2357468,2357576..2357697,2357763..2357931)				
SPAC17G8.15	I	new1	CDS	added_and_changed		2011-02-04	2011-03-24	join(2348008..2348088,2348209..2348322,2348425..2348451)		PMID:21270388		
SPAC17H9.04c	I	dri1	CDS	changed		2022-08-25	2022-08-25	complement(2009905..2011695)				
SPAC17H9.20	I		CDS	changed		2006-01-03	2006-01-03	join(2037303..2037567,2037613..2037725,2037764..2037859,2037908..2038317,2038368..2039967,2040016..2040420)				
SPAC1805.03c	I	trm13	CDS	changed		2011-03-24	2011-03-24	complement(join(2775340..2776083,2776135..2776171,2776251..2776576))				
SPAC1805.18	I	new2	CDS	added		2011-02-04	2011-02-04	2789090..2789377		PMID:21270388		
SPAC1834.13	I		CDS	added		2011-03-24	2011-03-24	complement(4722348..4722584)		PMID:21511999		
SPAC186.04c	I		CDS	changed		2003-08-14	2011-03-24	complement(5538574..5539101)				
SPAC18B11.03c	I		CDS	changed		2011-03-24	2011-03-24	join(312182..312212,312274..313586)				
SPAC18B11.05	I	gpi18	CDS	changed		2011-02-04	2011-02-04	complement(join(308381..309719,309751..309806))				
SPAC18G6.04c	I	shm2	CDS	changed		2011-03-24	2011-03-24	complement(join(2217187..2218569,2218716..2218799))				
SPAC1952.03	I	otu2	CDS	changed		2022-08-25	2022-08-25	join(4971189..4971548,4971595..4972137)				
SPAC1952.04c	I		CDS	changed		2003-08-14	2011-03-24	complement(join(4972426..4972662,4972852..4972922,4973017..4973030,4973244..4973335))				
SPAC1952.14c	I	mrpl25	CDS	changed		2011-03-24	2011-03-24	complement(join(4993896..4993934,4994046..4994444))				
SPAC1952.15c	I	rec24	CDS	changed		2022-08-25	2022-08-25	complement(join(4996030..4996763,4996904..4997171))				
SPAC1952.16	I	rga9	CDS	changed		2011-03-24	2011-03-24	join(4997617..4997719,4997775..4997935,4997988..4998734,4998777..4999017,4999068..4999154,4999207..4999233,4999274..4999672,4999708..4999955)				
SPAC19A8.04	I	erg5	CDS	changed		2011-03-24	2011-03-24	complement(join(2480147..2481645,2481978..2482110))				
SPAC19A8.06	I	pbr1	CDS	changed		2022-08-25	2022-08-25	complement(2475966..2477096)				
SPAC19A8.16	I	prl65	CDS	added		2011-03-24	2011-03-24	complement(join(2472594..2472749,2472861..2472902))		PMID:21511999		
SPAC19B12.06c	I		CDS	changed		2003-08-14	2003-08-14	complement(join(4889750..4890056,4890100..4890165,4890271..4890487,4890538..4890724))				
SPAC19D5.10c	I		CDS	added		2005-07-05	2005-07-05	complement(join(5222286..5222540,5222610..5222618))	sequence orphan	SPD:52/52C01		
SPAC19D5.11c	I		CDS	added		2005-07-05	2005-07-05	complement(join(5220534..5220746,5220796..5220912))	similar to S. cerevisiae CTF8	 pers. comm. Stuart MacNeil		
SPAC19G12.07c	I	rsd1	CDS	changed		2011-03-24	2011-03-24	complement(join(4053810..4054068,4054110..4054184,4054234..4054554,4054627..4054800,4054848..4054985,4055082..4055872,4055964..4056017))				
SPAC19G12.17	I	new10	CDS	added_and_changed		2011-02-04	2011-03-24	complement(join(4066258..4066328,4066387..4066491,4066623..4066652,4066728..4066785,4066837..4066858,4066943..4066971))		PMID:21270388		
SPAC1A6.03c	I		CDS	changed		2008-01-23	2014-07-11	complement(1070139..1072127)				
SPAC1A6.10	I	tcd1	CDS	changed		2022-04-03	2022-04-03	1090729..1092135				
SPAC1B1.04c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(3544727..3544801,3544849..3544920,3544971..3545250,3545315..3545861,3545919..3546701,3546740..3546914,3547052..3547152,3547267..3547279))				
SPAC1B2.03c	I	elo2	CDS	changed		2022-08-25	2022-08-25	complement(join(2811438..2812368,2812412..2812464))				
SPAC1B2.06	I		CDS	added		2011-03-24	2011-03-24	2812783..2813037		PMID:21511999		
SPAC1B3.04c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(4931313..4931351,4931503..4932927,4933016..4933510))				
SPAC1B3.05	I	not3	CDS	changed		2011-03-24	2011-03-24	join(4934663..4934684,4934731..4934768,4934831..4935025,4935082..4936749)				
SPAC1B3.10c	I		CDS	changed		2008-01-23	2008-01-23	complement(4946090..4948084)				
SPAC1B3.13	I		CDS	changed		2011-03-24	2011-03-24	join(4951432..4951565,4951737..4954023)				
SPAC1B3.18c	I	mrps18	CDS	changed		2022-08-25	2022-08-25	complement(4967223..4967756)				
SPAC1B3.21	I	tam3	CDS	added		2011-02-04	2011-02-04	4942226..4942435		PMID:21270388		
SPAC1D4.01	I		CDS	changed		2011-03-24	2011-03-24	639411..640175				
SPAC1D4.07c	I		CDS	removed		2015-12-11	2015-12-11	complement(649449..649889)			not protein-coding	PMID:24929437, PMID:26615217
SPAC1D4.08	I	pis1	CDS	changed		2014-07-08	2014-07-08	join(650488..650545,651193..651848)				
SPAC1D4.11c	I		CDS	changed		2002-03-22	2006-02-19	complement(656760..658832)				
SPAC1F12.03c	I		CDS	removed		2012-07-16	2012-07-16	complement(join(3810367..3810458,3810639..3810660))			removed; replaced by a nuclear mitochondrial pseudogene (NUMT) feature	PomBase curators
SPAC1F12.08	I		CDS	changed		2008-01-23	2008-01-23	join(3817464..3817803,3817851..3817991,3818035..3818130,3818170..3818543)				
SPAC1F12.09	I	gpi17	CDS	changed		2022-08-25	2022-08-25	join(3818803..3818907,3818954..3819677,3819720..3820420)				
SPAC1F7.05	I	cdc22	CDS	changed		2021-04-20	2023-01-11	multi-transcript				
SPAC1F7.14c	I	tam6	CDS	added		2011-02-04	2011-02-04	complement(4222648..4222893)		PMID:21270388		
SPAC1F8.07c	I	pdc101	CDS	changed		2009-02-19	2023-05-03	complement(join(101836..101872,101872..103544))				
SPAC1F8.09c	I		CDS	added_and_removed		2012-08-19	2012-09-13	complement(96091..96345)			annotated in error	PomBase curators
SPAC20G4.09	I		CDS	added		2008-05-12	2008-05-12	join(4826230..4826297,4826343..4826349)	Solexa prediction	PMID:18488015		
SPAC20H4.05c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(2119362..2119570,2119614..2119789,2119838..2119915,2119975..2120052,2120096..2120119,2120163..2120284))				
SPAC20H4.09	I	gih35	CDS	changed		2022-10-25	2022-10-26	join(2126067..2126157,2126201..2126278,2126327..2126391,2126440..2126696,2126733..2127504,2127551..2127652,2127701..2127869,2127912..2128232,2128271..2128359)				
SPAC212.05c	I		CDS	changed		2003-08-14	2003-08-14	20824..21015				
SPAC212.06c	I		CDS	changed		2011-03-24	2011-03-24	join(18072..18306,18349..18557)				
SPAC212.10	I		CDS	changed		2005-07-05	2006-02-19	complement(5726..6331)				
SPAC212.12	I		CDS	added_and_changed		2008-05-12	2011-03-24	15855..16226		PMID:21511999		
SPAC21E11.05c	I		CDS	changed		2006-02-19	2006-06-26	complement(join(4256629..4257052,4257118..4258032,4258173..4258384))				
SPAC222.16c	I	csn3	CDS	changed		2011-03-24	2011-03-24	complement(join(979679..980026,980093..980239,980289..980378,980434..980532,980628..980774,980846..980898,980944..981076))				
SPAC222.17	I		CDS	added		2008-05-12	2008-05-12	complement(join(967865..967958,968030..968205))	Solexa prediction	PMID:18488015		
SPAC222.18	I		CDS	added		2008-05-12	2008-05-12	join(978903..979021,979120..979176,979215..979374)	Solexa prediction	PMID:18488015		
SPAC222.19	I	tam1	CDS	added		2011-02-04	2011-02-04	join(949646..949680,949729..950047)		PMID:21270388		
SPAC227.11c	I	yos9	CDS	changed		2007-12-19	2023-01-10	complement(join(514552..515082,515222..515482,515534..515608))				
SPAC227.19c	I		CDS	added		2008-05-12	2008-05-12	complement(join(501117..501248,501366..501485))	Solexa prediction	PMID:18488015		
SPAC22A12.08c	I	crd1	CDS	changed		2021-04-23	2022-10-04	multi-transcript				
SPAC22A12.13	I	mug84	CDS	changed		2011-03-24	2011-03-24	1180254..1180841				
SPAC22E12.10c	I	etp1	CDS	changed		2008-01-23	2008-01-23	complement(join(5037208..5037446,5037492..5039103))				
SPAC22E12.12	I		CDS	removed		2007-12-19	2007-12-19	join(5043251..5043480,5043529..5043589)			dubious; unsupported by Solexa transcript data|unsupported by Solexa transcript data and largely overlapping with 3' UTR of rpl24-3	PMID:18488015
SPAC22E12.15	I		CDS	removed		2008-01-23	2008-01-23	join(5049001..5049055,5049138..5049149,5049253..5049365)			previously annotated as dubious but dubious splice prediction; unsupported by Solexa transcript data	PMID:18488015
SPAC22E12.17c	I	glo3	CDS	changed		2011-03-24	2011-03-24	complement(join(5053107..5054373,5054436..5054554,5054608..5054673))				
SPAC22F3.03c	I		CDS	changed		2003-08-14	2003-08-14	join(704689..704867,704915..705013,705105..705180,705222..705436,705473..705663,705716..705789,705825..705956,705995..706058,706095..706193,706233..706390,706429..706501,706537..707152,707192..707261,707304..707552,707588..707728)				
SPAC22F3.04	I	mug62	CDS	changed		2014-07-08	2014-07-08	complement(join(698033..698177,698223..698441,698480..698841,698884..699104,699148..699363,699410..702557,702603..702755))				
SPAC22F3.11c	I	snu23	CDS	added_and_changed		2007-12-19	2016-03-17	join(682874..682996,682998..683109,683160..683446)		PMID:16823372,PMID:21511999,PMID:26494834,PMID:26615217		
SPAC22F3.15	I		CDS	added		2008-05-12	2008-05-12	join(692567..692725,692849..693061)	Solexa prediction	PMID:18488015		
SPAC22F8.07c	I	rtf1	CDS	changed		2007-09-04	2007-09-04	complement(join(4797267..4797376,4797424..4797575,4797621..4797953,4797992..4798103,4798143..4798230,4798276..4798442,4798490..4798928))				
SPAC22F8.10c	I	sap145	CDS	changed		2022-08-25	2022-08-25	complement(4804630..4806387)				
SPAC22G7.04	I	ubp13	CDS	changed		2010-12-09	2010-12-09	join(732880..732897,732942..733040,733085..733251,733369..733495,733536..734113,734151..735457,735495..736465)				
SPAC22G7.07c	I		CDS	changed		2011-03-24	2011-03-24	complement(747143..748402)				
SPAC22H10.02	I		CDS	changed		2011-03-24	2011-03-24	join(2371752..2371809,2371877..2371965,2372103..2372372)				
SPAC22H10.03c	I	kap114	CDS	changed		2011-03-24	2011-03-24	complement(join(2373144..2373263,2373303..2373376,2373413..2373583,2373626..2373744,2373792..2373961,2374002..2376223,2376280..2376385))				
SPAC23A1.18c	I	mrp51	CDS	changed		2011-03-24	2011-03-24	complement(4112685..4113596)				
SPAC23A1.20	I	new11	CDS	added_and_changed		2011-02-04	2011-08-27	complement(join(4100755..4101269,4101272..4101275))		PMID:21270388		
SPAC23C11.04c	I	pnk1	CDS	changed		2011-03-24	2011-03-24	complement(join(2138064..2138210,2138267..2138409,2138449..2138844,2138898..2139438))				
SPAC23C11.10	I		CDS	changed		2002-09-05	2002-09-05	join(2202062..2202182,2202222..2202320,2202368..2202566,2202618..2202780,2202824..2203039)				
SPAC23C11.17	I	mdm28	CDS	changed		2022-08-25	2022-08-25	join(2167206..2167245,2167302..2168683)				
SPAC23C4.04c	I		CDS	added_and_changed		2006-02-19	2008-01-23	join(1036033..1036343,1036397..1036508)		PMID:18488015		
SPAC23C4.08	I		CDS	changed		2003-08-14	2003-08-14	join(1042435..1042498,1042573..1042645,1042970..1043450)				
SPAC23C4.17	I		CDS	changed		2011-03-24	2011-03-24	join(1058395..1058415,1058465..1058514,1058623..1059777,1059838..1060104,1060143..1060670,1060709..1060745)				
SPAC23D3.08	I	usp108	CDS	changed		2007-12-19	2007-12-19	join(4352514..4353359,4353410..4353577)				
SPAC23D3.09	I	arp42	CDS	changed		2011-03-24	2011-03-24	complement(join(4353826..4355096,4355173..4355176))				
SPAC23D3.16	I		CDS	added_and_changed		2008-05-12	2011-03-24	join(4365700..4365734,4365789..4365844,4366009..4366163)	Solexa prediction	PMID:18488015		
SPAC23D3.17	I		CDS	added_and_changed		2008-05-12	2011-03-24	complement(join(4366509..4366563,4366611..4366693,4366770..4366868))	Solexa prediction	PMID:18488015		
SPAC23E2.02	I	lsd2	CDS	changed		2022-08-25	2022-08-25	join(446770..449241,449295..450530)				
SPAC23H3.04	I		CDS	changed		2008-01-23	2009-02-19	join(2499035..2499159,2499161..2499353,2499443..2499824,2499875..2500236)				
SPAC23H4.17c	I	srb10	CDS	changed		2011-03-24	2011-03-24	join(1576854..1577836,1577902..1578028)				
SPAC23H4.21	I		CDS	added		2008-05-12	2008-05-12	complement(join(1586013..1586096,1586189..1586473))	Solexa prediction	PMID:18488015		
SPAC24B11.06c	I	sty1	CDS	changed		2014-10-22	2014-10-22	complement(206864..207913)				
SPAC24C9.06c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(3048409..3050745,3051375..3051407))				
SPAC24C9.09	I		CDS	changed		2011-03-24	2011-03-24	3063767..3065191				
SPAC24H6.01c	I		CDS	changed		2008-01-23	2008-01-23	join(490016..490262,490338..490771,490812..490931,490979..491149,491186..491858,491905..492011)				
SPAC24H6.06	I	sld3	CDS	changed		2011-08-22	2011-08-22	complement(join(476549..478606,478655..478696))				
SPAC25B8.06c	I		CDS	changed		2011-03-24	2011-03-24	complement(join(4164278..4164599,4164657..4165774))				
SPAC25B8.08	I		CDS	changed		2022-08-25	2022-08-25	4168263..4169984				
SPAC25B8.20	I		CDS	added		2011-03-24	2011-03-24	join(4166830..4166968,4167077..4167156)		PMID:21511999,PMID:30925937		
SPAC25H1.10c	I	atp19	CDS	added_and_changed		2008-05-12	2008-07-16	complement(join(2532904..2532928,2532991..2533127,2533170..2533214))	Solexa prediction	PMID:18488015		
SPAC26A3.09c	I	rga2	CDS	changed		2022-08-25	2022-08-25	complement(3348569..3352258)				
SPAC26F1.02	I	pnn1	CDS	changed		2022-08-25	2022-08-25	complement(join(5181982..5182122,5182191..5182628))				
SPAC26F1.14c	I	aif1	CDS	changed		2011-03-24	2022-08-25	5146273..5148000				
SPAC26H5.02c	I		CDS	changed		2005-07-05	2005-07-05	complement(join(4118187..4118285,4118326..4119100,4119145..4119162,4119208..4119238,4119282..4119873))				
SPAC26H5.04	I		CDS	changed		2008-01-23	2008-01-23	4122149..4124518				
SPAC26H5.12	I	rpo41	CDS	changed		2011-03-24	2011-03-24	4147739..4151203				
SPAC27D7.10c	I		CDS	merged	SPAC27D7.09c	2008-09-22	2008-09-22	complement(4526425..4527576)				PomBase curators
SPAC27D7.12c	I		CDS	changed		2004-09-15	2004-09-15	complement(4534416..4535147)				
SPAC27E2.12	I		CDS	added		2006-02-19	2006-02-19	join(4010913..4010930,4011105..4011317)	dubious			
SPAC27E2.13	I		CDS	added_changed_and_removed		2006-02-19	2015-12-11	4008511..4008693	dubious		not protein-coding	PMID:24929437, PMID:26615217
SPAC27E2.14	I		CDS	added		2008-05-12	2008-05-12	complement(join(4012522..4012611,4012663..4012677))	Solexa prediction	PMID:18488015		
SPAC27F1.09c	I	prp10	CDS	changed		2010-10-15	2021-12-18	multi-transcript				
SPAC29A4.03c	I	mrps9	CDS	changed		2011-02-04	2017-04-12	join(5142407..5142626,5142626..5143224)				
