chromosome	systematic_id	primary_name	feature_type	value	date	db_xref_removed	db_xref_added	pombase_reference_removed	pombase_reference_added	pombase_comments_removed	pombase_comments_added	genome_snapshot
I	SPAC1002.08c		3'UTR	complement(1809732..1810022)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.08c		5'UTR	complement(1811122..1811326)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.08c		5'UTR	complement(1811124..1811326)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.08c		5'UTR	complement(1811124..1811361)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.09c		5'UTR	complement(1813669..1813805)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.09c	dld1	3'UTR	complement(1812048..1812132)	2011-03-24	EMBL:L40360						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.09c	dld1	5'UTR	complement(1813669..1813720)	2011-03-24	EMBL:L40360						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.10c		5'UTR	complement(1815626..1815727)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.10c		5'UTR	complement(1815628..1815727)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.10c		5'UTR	complement(1815628..1815796)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.11		3'UTR	1818399..1818533	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.11		5'UTR	1816490..1816652	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.11		5'UTR	1816497..1816652	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.12c		3'UTR	complement(1818587..1818694)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.12c		5'UTR	complement(1820190..1820346)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.12c		5'UTR	complement(1820192..1820346)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.12c		5'UTR	complement(1820339..1820420)	2022-04-03							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8147
I	SPAC1002.12c		CDS	complement(1818695..1820191)	2011-03-24							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.12c		CDS	complement(1818695..1820338)	2022-04-03							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8147
I	SPAC1002.13c		5'UTR	complement(1823190..1823413)	2023-01-12	EMBL:SPC10137						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.14		3'UTR	1826093..1826122	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.14		5'UTR	1824570..1824784	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.14		5'UTR	1824637..1824784	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.15c		5'UTR	complement(1827062..1827260)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.16c		5'UTR	complement(1829371..1829708)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.17c		3'UTR	complement(1830685..1831011)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.17c		5'UTR	complement(1831580..1831731)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.17c		5'UTR	complement(1831582..1831731)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.17c		5'UTR	complement(1831627..1831951)	2022-04-03							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8147
I	SPAC1002.17c	urg2	CDS	complement(1831012..1831581)	2011-03-24						change MSTTTTVSAIRTVEE to MSNITISSHPV	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.17c	urg2	CDS	complement(1831012..1831626)	2022-04-03					change MSTTTTVSAIRTVEE to MSNITISSHPV		https://curation.pombase.org/pombe-embl-repo/trunk/?p=8147
I	SPAC1002.18		5'UTR	1832317..1832456	2023-01-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.19		3'UTR	1836789..1836957	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.19		5'UTR	1835270..1835468	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.19		5'UTR	1835307..1835468	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.20		5'UTR	1823882..1823971	2023-01-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.21		CDS	complement(1834875..1835321)	2008-01-23							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20071219/
I	SPAC1006.01		3'UTR	5069196..5069307	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.01		5'UTR	5067494..5067839	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.01		5'UTR	5067551..5067839	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.02		3'UTR	5070803..5070901	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.02		5'UTR	5069559..5069695	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.02		5'UTR	5069587..5069695	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.03c		3'UTR	complement(5071016..5071211)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.03c		5'UTR	complement(5073873..5074055)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.03c		CDS	complement(join(5071212..5071417,5071456..5073188,5073389..5073449,5073728..5073872))	2011-03-04					intron donor corrected		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1006.04c		5'UTR	complement(5077995..5078206)	2023-01-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.04c	mcp3	CDS	complement(5075136..5077994)	2013-08-13							https://curation.pombase.org/pombe-embl-repo/trunk/?p=1154
I	SPAC1006.04c	mcp3	CDS	complement(5075136..5077994)	2013-08-20							https://curation.pombase.org/pombe-embl-repo/trunk/?p=1173
I	SPAC1006.05c		3'UTR	complement(5078436..5079185)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.05c		5'UTR	complement(5080377..5080499)	2023-01-12	EMBL:AU011902						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.05c		CDS	complement(5071493..5072593)	2002-03-22							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20011004/
I	SPAC1006.06		3'UTR	5084681..5085036	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.06		5'UTR	5080753..5081104	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.07		5'UTR	5085486..5085562	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.07		5'UTR	5085532..5085562	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.08		3'UTR	5089327..5089492	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.08		5'UTR	5087986..5088088	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.08		5'UTR	5088008..5088088	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.09		3'UTR	5094752..5094829	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1006.09		5'UTR	5089815..5090440	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1006.09		5'UTR	5089826..5090440	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.01		3'UTR	5447054..5447435	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.01		5'UTR	join(5444360..5444400,5444448..5445123,5445328..5445349)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.02		3'UTR	5451523..5451560	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.02		5'UTR	5448735..5449716	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.03		3'UTR	5453755..5453812	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.03		5'UTR	5452105..5452728	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.03		5'UTR	5452217..5452728	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.04		3'UTR	5456425..5456619	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.04		5'UTR	5454583..5454900	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.04		5'UTR	5454643..5454900	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.05c		3'UTR	complement(5456727..5456744)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.05c		5'UTR	complement(5459394..5459483)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1039.05c		5'UTR	complement(5459396..5459483)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.05c		5'UTR	complement(5459396..5459789)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.06		3'UTR	5461815..5461900	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.06		5'UTR	5460195..5460566	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.06		5'UTR	5460198..5460566	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.07c		3'UTR	complement(5462177..5462442)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1039.07c		5'UTR	complement(5463790..5463989)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.08		5'UTR	5463863..5464247	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.09		5'UTR	5465377..5466777	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.10		5'UTR	join(5470432..5470525,5470574..5470913)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1039.11c		5'UTR	complement(5474549..5474941)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC105.01c		3'UTR	complement(1740543..1740615)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC105.01c		5'UTR	complement(1743502..1743699)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC105.01c		5'UTR	complement(1743559..1743622)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC105.01c		5'UTR	complement(1743561..1743622)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC105.01c	kha1	CDS	complement(join(1740616..1743124,1743299..1743378,1743421..1743503,1743536..1743560))	2011-03-24							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC105.02c		3'UTR	complement(1744115..1744747)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC105.02c		5'UTR	complement(1745598..1745658)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC105.03c		3'UTR	complement(1746758..1746917)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC105.03c		5'UTR	complement(1749043..1749122)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC105.03c		5'UTR	complement(1749045..1749122)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC105.03c		5'UTR	complement(1749045..1749242)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.01c		3'UTR	complement(3855385..3855779)	2017-04-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=3984
I	SPAC1071.01c		5'UTR	complement(3857791..3857888)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1071.01c		5'UTR	complement(3857793..3857888)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.01c		5'UTR	complement(3857793..3857994)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.01c	pta1	CDS	complement(3855780..3857792)	2017-04-12			PMID:26615217; pers. comm. Li-Lin Du		Frameshifted by Chr_I:3855790!GT→G		https://curation.pombase.org/pombe-embl-repo/trunk/?p=3984
I	SPAC1071.02		5'UTR	3858241..3858422	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.02		5'UTR	3858268..3858422	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.05		5'UTR	3864467..3864522	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.05		5'UTR	3864478..3864522	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.06		3'UTR	3868160..3868327	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.06		5'UTR	3866536..3866587	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.07c		3'UTR	complement(3868441..3868495)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.07c		5'UTR	complement(3868959..3868989)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1071.07c		5'UTR	complement(3868961..3868989)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.07c		5'UTR	complement(3868961..3869076)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.08		3'UTR	3869572..3869594	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.08		5'UTR	3869082..3869144	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.08		5'UTR	3869103..3869144	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.09c		5'UTR	complement(3871509..3871602)	2022-08-25							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8402
I	SPAC1071.09c		CDS	complement(3870660..3871508)	2022-08-25							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8402
I	SPAC1071.10c		5'UTR	complement(3874678..3876086)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1071.10c		5'UTR	complement(3874680..3876086)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.10c		5'UTR	complement(3874680..3876176)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.11		5'UTR	3882010..3882526	2023-01-12	EMBL:AU013848						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.12c		3'UTR	complement(3883507..3883620)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1071.12c		5'UTR	complement(3884092..3884346)	2023-01-12	EMBL:SPLMPTP						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1071.13		5'UTR	3878007..3881344	2023-01-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.01		3'UTR	4611418..4611543	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.01		5'UTR	4606299..4607631	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.01		5'UTR	4606321..4607631	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.02		3'UTR	4612827..4613031	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.02		5'UTR	4612095..4612130	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.02		5'UTR	4612099..4612130	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.03		3'UTR	4616332..4617099	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.03		5'UTR	4613443..4613626	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.03		CDS	4659816..4662520	2003-08-14							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020905/
I	SPAC1093.03		CDS	join(4613627..4613686,4613723..4614081,4614152..4614378,4614438..4614954,4614996..4616331)	2008-01-23			PMID:18488015		Solexa intron data; improved distance between branch and acceptor, intron 2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20071219/
I	SPAC1093.03		CDS	join(4613627..4613686,4613723..4614081,4614164..4614378,4614438..4614954,4614996..4616331)	2011-03-24				PMID:18488015		Solexa intron data; improved distance between branch and acceptor, intron 2	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.04c		5'UTR	complement(4618139..4618421)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1093.04c		5'UTR	complement(4618141..4618421)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.04c		5'UTR	complement(join(4618141..4618297,4618360..4618620))	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.04c		5'UTR	complement(join(4618243..4618297,4618360..4618620))	2012-10-09							https://curation.pombase.org/pombe-embl-repo/trunk/?p=665
I	SPAC1093.04c		CDS	complement(join(4617361..4617522,4617567..4618180,4618252..4618834,4618896..4619141))	2005-07-05							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20040915/
I	SPAC1093.05		3'UTR	4621901..4622156	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.05		5'UTR	4619603..4619692	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.05		5'UTR	4619684..4619692	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.06c		5'UTR	complement(4634755..4635415)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1093.06c		5'UTR	complement(4634757..4635111)	2023-01-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1093.06c		5'UTR	complement(4634757..4635415)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1093.07		5'UTR	complement(4606144..4606871)	2023-01-12							https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC10F6.01c		5'UTR	complement(1205497..1205998)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC10F6.01c		5'UTR	complement(1205499..1205998)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC10F6.01c		5'UTR	complement(1205499..1206090)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC10F6.02c		3'UTR	complement(1206875..1206924)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC10F6.02c		5'UTR	complement(1210483..1210561)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC10F6.02c		5'UTR	complement(1210485..1210561)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC10F6.02c		5'UTR	complement(1210485..1210630)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC10F6.03c		5'UTR	complement(1213467..1213476)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC10F6.03c		5'UTR	complement(1213469..1213476)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
