revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value	db_xref	pombase_reference	pombase_comments
8654	vw253	2023-01-14	I	SPAC1783.05		5'UTR	removed	2194821..2195018			
8654	vw253	2023-01-14	I	SPAC1D4.06c		5'UTR	added	complement(649394..649565)			
8654	vw253	2023-01-14	I	SPAC1D4.06c		5'UTR	removed	complement(649393..649565)			
8654	vw253	2023-01-14	I	SPAC26A3.03c		5'UTR	added	complement(3337228..3337594)			
8654	vw253	2023-01-14	I	SPAC26A3.03c		5'UTR	removed	complement(3337227..3337594)			
8654	vw253	2023-01-14	I	SPAC4F10.02		5'UTR	added	4832890..4832910			
8654	vw253	2023-01-14	I	SPAC4F10.02		5'UTR	removed	4832890..4832928			
8654	vw253	2023-01-14	I	SPAC977.10		5'UTR	added	51989..52116			
8654	vw253	2023-01-14	I	SPAC977.10		5'UTR	removed	51989..52117			
8654	vw253	2023-01-14	I	SPAP27G11.08c		5'UTR	added	complement(1622868..1622887)			
8654	vw253	2023-01-14	I	SPAP27G11.08c		5'UTR	removed	complement(1622869..1622887)			
8654	vw253	2023-01-14	I	SPAPB1E7.05		5'UTR	added	3293547..3293629			
8654	vw253	2023-01-14	I	SPAPB1E7.05		5'UTR	removed	3293547..3294110			
8654	vw253	2023-01-14	II	SPBC15C4.02		5'UTR	added	2238819..2238825			
8654	vw253	2023-01-14	II	SPBC15C4.02		5'UTR	removed	2238819..2238826			
8654	vw253	2023-01-14	II	SPBC15D4.07c		5'UTR	added	complement(3025622..3025771)			
8654	vw253	2023-01-14	II	SPBC15D4.07c		5'UTR	removed	complement(3025623..3025771)			
8654	vw253	2023-01-14	II	SPBC1709.20		5'UTR	added	1112697..1112734			
8654	vw253	2023-01-14	II	SPBC1709.20		5'UTR	removed	1112697..1112733			
8654	vw253	2023-01-14	II	SPBC2D10.07c		5'UTR	added	complement(2979470..2979730)			
8654	vw253	2023-01-14	II	SPBC2D10.07c		5'UTR	removed	complement(2979473..2979730)			
8654	vw253	2023-01-14	II	SPBC337.16		5'UTR	added	1058364..1058421			
8654	vw253	2023-01-14	II	SPBC337.16		5'UTR	removed	1058364..1058420			
8654	vw253	2023-01-14	II	SPBC3D6.07		5'UTR	added	1282427..1282753			
8654	vw253	2023-01-14	II	SPBC3D6.07		5'UTR	removed	1282427..1282754			
8654	vw253	2023-01-14	II	SPBC839.14c		5'UTR	added	complement(625198..625360)			
8654	vw253	2023-01-14	II	SPBC839.14c		5'UTR	removed	complement(625197..625360)			
8654	vw253	2023-01-14	II	SPBC8D2.23		5'UTR	added	1378393..1378509			
8654	vw253	2023-01-14	II	SPBC8D2.23		5'UTR	removed	1378393..1378510			
8654	vw253	2023-01-14	II	SPBP4H10.12		5'UTR	added	2895717..2895799			
8654	vw253	2023-01-14	II	SPBP4H10.12		5'UTR	removed	2895717..2895854			
8654	vw253	2023-01-14	III	SPCC4B3.10c		5'UTR	added	1157504..1158147			
8654	vw253	2023-01-14	III	SPCC4B3.10c		5'UTR	removed	1157504..1158148			
8654	vw253	2023-01-14	III	SPCC553.05c		3'UTR	removed	complement(join(296600..297216,297266..297307,297349..297353))			
8654	vw253	2023-01-14	III	SPCC70.09c		5'UTR	added	complement(2369791..2369852)			
8654	vw253	2023-01-14	III	SPCC70.09c		5'UTR	removed	complement(2369792..2369852)			
8654	vw253	2023-01-14	III	SPCC736.05		5'UTR	added	320343..320616			
8654	vw253	2023-01-14	III	SPCC736.05		5'UTR	removed	320343..320607			
8652	vw253	2023-01-13	II	SPBC17D1.06	dbp3	CDS	added	3338751..3340340			
8652	vw253	2023-01-13	II	SPBC17D1.06	dbp3	CDS	removed	3338604..3340340			
8651	kmr44	2023-01-13	I	SPAC22A12.08c.1		5'UTR	added	complement(1172127..1172209)	PMID:30566651		
8651	kmr44	2023-01-13	I	SPAC22A12.08c.1		5'UTR	removed	complement(1172127..1172171)			
8651	kmr44	2023-01-13	I	SPAC22A12.08c.2		5'UTR	added	complement(1172127..1172209)	PMID:30566651		
8651	kmr44	2023-01-13	I	SPAC22A12.08c.2		5'UTR	removed	complement(1172127..1172171)			
8651	kmr44	2023-01-13	II	SPBC1198.04c.01		5'UTR	removed	complement(180609..180735)			
8651	kmr44	2023-01-13	II	SPBC1198.04c.02		5'UTR	removed	complement(180609..180735)			
8651	kmr44	2023-01-13	II	SPBC1198.04c.1		5'UTR	added	complement(180609..180628)			
8651	kmr44	2023-01-13	II	SPBC1198.04c.2		5'UTR	added	complement(180609..180628)			
8650	kmr44	2023-01-12	I	SPAC1002.02		5'UTR	added	1799014..1799127	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.02		5'UTR	removed	1799061..1799127	PMID:18641648,PMID:20118936		
8650	kmr44	2023-01-12	I	SPAC1002.03c		5'UTR	added	complement(1802984..1803070)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.03c		5'UTR	removed	complement(1802984..1803141)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.04c		5'UTR	added	complement(1804373..1804458)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.04c		5'UTR	removed	complement(1804373..1804491)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.07c		5'UTR	added	complement(1809242..1809283)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.07c		5'UTR	removed	complement(1809242..1809433)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.08c		5'UTR	added	complement(1811124..1811330)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.08c		5'UTR	removed	complement(1811124..1811361)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.09c		5'UTR	added	complement(1813669..1813740)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.09c		5'UTR	removed	complement(1813669..1813805)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.10c		5'UTR	added	complement(1815628..1815746)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.10c		5'UTR	removed	complement(1815628..1815796)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.11		5'UTR	added	1816499..1816652	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.11		5'UTR	removed	1816490..1816652	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.12c		5'UTR	added	complement(1820192..1820272)			
8650	kmr44	2023-01-12	I	SPAC1002.13c		5'UTR	added	complement(1823190..1823430)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.13c		5'UTR	removed	complement(1823190..1823413)	EMBL:SPC10137		
8650	kmr44	2023-01-12	I	SPAC1002.14		5'UTR	added	1824583..1824784	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.14		5'UTR	removed	1824570..1824784	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.15c		5'UTR	added	complement(1827062..1827118)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.15c		5'UTR	removed	complement(1827062..1827260)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.16c		5'UTR	added	complement(1829371..1829718)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.16c		5'UTR	removed	complement(1829371..1829708)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.17c		5'UTR	added	complement(1831582..1831599)			
8650	kmr44	2023-01-12	I	SPAC1002.18		5'UTR	added	1832105..1832456	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.18		5'UTR	removed	1832317..1832456			
8650	kmr44	2023-01-12	I	SPAC1002.19		5'UTR	added	1835254..1835468	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1002.19		5'UTR	removed	1835270..1835468	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1002.20		5'UTR	removed	1823882..1823971			
8650	kmr44	2023-01-12	I	SPAC1006.01		5'UTR	added	5067518..5067839	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.01		5'UTR	removed	5067494..5067839	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1006.02		5'UTR	added	5069592..5069695	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.02		5'UTR	removed	5069559..5069695	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1006.03c		5'UTR	added	complement(5073873..5073898)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.03c		5'UTR	removed	complement(5073873..5074055)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1006.04c		5'UTR	removed	complement(5077995..5078206)			
8650	kmr44	2023-01-12	I	SPAC1006.05c		5'UTR	added	complement(5080377..5080521)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.05c		5'UTR	removed	complement(5080377..5080499)	EMBL:AU011902		
8650	kmr44	2023-01-12	I	SPAC1006.07		5'UTR	added	5085530..5085562	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.07		5'UTR	removed	5085486..5085562	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1006.08		5'UTR	added	5087979..5088088	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.08		5'UTR	removed	5087986..5088088	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1006.09		5'UTR	added	5089816..5090440	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1006.09		5'UTR	removed	5089815..5090440	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.01		5'UTR	added	join(5444851..5445123,5445328..5445349)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.01		5'UTR	removed	join(5444360..5444400,5444448..5445123,5445328..5445349)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.02		5'UTR	added	5449668..5449716	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.02		5'UTR	removed	5448735..5449716	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.03		5'UTR	added	5452174..5452728	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.03		5'UTR	removed	5452105..5452728	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.04		5'UTR	added	5454613..5454900	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.04		5'UTR	removed	5454583..5454900	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.05c		5'UTR	added	complement(5459396..5459561)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.05c		5'UTR	removed	complement(5459396..5459789)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.06		5'UTR	added	5460332..5460566	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.06		5'UTR	removed	5460198..5460566	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.07c		5'UTR	added	complement(5463790..5463813)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.07c		5'UTR	removed	complement(5463790..5463989)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.08		5'UTR	added	5464043..5464247	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.08		5'UTR	removed	5463863..5464247	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.09		5'UTR	added	5466757..5466777	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.09		5'UTR	removed	5465377..5466777	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.10		5'UTR	added	5470864..5470913	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.10		5'UTR	removed	join(5470432..5470525,5470574..5470913)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1039.11c		5'UTR	added	complement(5474549..5474945)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1039.11c		5'UTR	removed	complement(5474549..5474941)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC105.01c		5'UTR	added	complement(1743502..1743667)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC105.01c		5'UTR	removed	complement(1743502..1743699)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC105.02c		5'UTR	added	complement(1745598..1745637)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC105.02c		5'UTR	removed	complement(1745598..1745658)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC105.03c		5'UTR	added	complement(1749045..1749165)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC105.03c		5'UTR	removed	complement(1749045..1749242)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.01c		5'UTR	added	complement(3857793..3857904)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.01c		5'UTR	removed	complement(3857793..3857994)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.02		5'UTR	added	3858218..3858422	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.02		5'UTR	removed	3858241..3858422	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.05		5'UTR	added	3864490..3864522	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.05		5'UTR	removed	3864467..3864522	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.06		5'UTR	added	3866533..3866587	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.06		5'UTR	removed	3866536..3866587	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.07c		5'UTR	added	complement(3868961..3868978)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.07c		5'UTR	removed	complement(3868961..3869076)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.08		5'UTR	added	3869089..3869144	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.08		5'UTR	removed	3869082..3869144	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.09c		5'UTR	added	complement(3871428..3871449)			
8650	kmr44	2023-01-12	I	SPAC1071.10c		5'UTR	added	complement(3874680..3876111)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.10c		5'UTR	removed	complement(3874680..3876176)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1071.11		5'UTR	added	3882415..3882526	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.11		5'UTR	removed	3882010..3882526	EMBL:AU013848		
8650	kmr44	2023-01-12	I	SPAC1071.12c		5'UTR	added	complement(3884092..3884363)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1071.12c		5'UTR	removed	complement(3884092..3884346)	EMBL:SPLMPTP		
8650	kmr44	2023-01-12	I	SPAC1071.13		5'UTR	removed	3878007..3881344			
8650	kmr44	2023-01-12	I	SPAC1093.01		5'UTR	added	4606818..4607631	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1093.01		5'UTR	removed	4606299..4607631	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1093.02		5'UTR	added	4612115..4612130	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1093.02		5'UTR	removed	4612099..4612130	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1093.03		5'UTR	added	4613602..4613626	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1093.03		5'UTR	removed	4613443..4613626	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1093.04c		5'UTR	added	complement(join(4618141..4618297,4618360..4618439))	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1093.04c		5'UTR	removed	complement(join(4618141..4618297,4618360..4618620))	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1093.05		5'UTR	added	4619672..4619692	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1093.05		5'UTR	removed	4619603..4619692	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1093.06c		5'UTR	removed	complement(4634757..4635111)			
8650	kmr44	2023-01-12	I	SPAC1093.07		5'UTR	removed	complement(4606144..4606871)			
8650	kmr44	2023-01-12	I	SPAC10F6.01c		5'UTR	added	complement(1205499..1206021)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.01c		5'UTR	removed	complement(1205499..1206090)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.02c		5'UTR	added	complement(1210485..1210579)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.02c		5'UTR	removed	complement(1210485..1210630)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.03c		5'UTR	added	complement(1213469..1213510)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.03c		5'UTR	removed	complement(1213469..1213553)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.04		5'UTR	added	1213711..1213725	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.04		5'UTR	removed	join(1213255..1213504,1213549..1213725)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.05c		5'UTR	added	complement(1215929..1215948)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.05c		5'UTR	removed	complement(1215929..1217067)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.06		5'UTR	added	1217139..1217170	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.06		5'UTR	removed	1217077..1217170	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.08c		5'UTR	added	complement(1220798..1220852)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.08c		5'UTR	removed	complement(1220798..1220847)			
8650	kmr44	2023-01-12	I	SPAC10F6.09c		5'UTR	added	complement(1224837..1224858)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.09c		5'UTR	removed	complement(1224837..1224862)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.10		5'UTR	added	1225505..1225598	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.10		5'UTR	removed	1225464..1225598	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.11c		5'UTR	added	complement(1228652..1228821)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.11c		5'UTR	removed	complement(1228652..1228894)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.12c		5'UTR	added	complement(1230071..1230272)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.12c		5'UTR	removed	complement(1230071..1230361)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.13c		5'UTR	added	complement(1232018..1232039)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.13c		5'UTR	removed	complement(1232018..1232155)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.14c		5'UTR	added	complement(1233924..1234041)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.14c		5'UTR	removed	complement(1233924..1234076)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC10F6.15		5'UTR	removed	1235601..1235666			
8650	kmr44	2023-01-12	I	SPAC10F6.17c		5'UTR	added	complement(1241656..1241697)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC10F6.17c		5'UTR	removed	complement(1241656..1241970)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC110.01		5'UTR	added	1907055..1908267	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC110.01		5'UTR	removed	1905755..1908267	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC110.02		5'UTR	added	1911848..1912041	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC110.02		5'UTR	removed	1911836..1912041	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC110.03		5'UTR	added	1916009..1916107	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC110.03		5'UTR	removed	1916054..1916107	EMBL:U59434		
8650	kmr44	2023-01-12	I	SPAC110.04c		5'UTR	added	complement(join(1920161..1920201,1920607..1920696))	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC110.04c		5'UTR	removed	complement(join(1920161..1920201,1920607..1920867))	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC110.06		5'UTR	removed	complement(1905821..1906153)			
8650	kmr44	2023-01-12	I	SPAC1142.01		5'UTR	added	3625561..3625573	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.01		5'UTR	removed	join(3625312..3625507,3625555..3625573)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.02c		5'UTR	added	complement(3628887..3628955)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.02c		5'UTR	removed	complement(3628887..3629022)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.03c		5'UTR	added	complement(3631342..3631458)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.03c		5'UTR	removed	complement(3631342..3631504)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.04		5'UTR	added	3631521..3631535	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.04		5'UTR	removed	3631499..3631535	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.05		5'UTR	added	3635409..3635764	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.05		5'UTR	removed	3635293..3635764	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.06		5'UTR	added	3637010..3637101	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.06		5'UTR	removed	3636685..3637101	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.07c		5'UTR	added	complement(3639561..3639776)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.07c		5'UTR	removed	complement(3639561..3639824)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC1142.08		5'UTR	added	3639812..3639987	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC1142.08		5'UTR	removed	3639860..3639987	PMID:18641648,PMID:20118936		
8650	kmr44	2023-01-12	I	SPAC11D3.01c		5'UTR	added	complement(109148..109180)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.01c		5'UTR	removed	complement(109148..109195)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.02c		5'UTR	added	complement(110282..110512)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.02c		5'UTR	removed	complement(110282..110455)			
8650	kmr44	2023-01-12	I	SPAC11D3.03c		5'UTR	added	complement(111914..111977)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.03c		5'UTR	removed	complement(join(111914..112046,112098..112333,112378..112499))	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.04c		5'UTR	added	complement(113310..113337)			
8650	kmr44	2023-01-12	I	SPAC11D3.05		5'UTR	added	113996..114079	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.05		5'UTR	removed	113950..114079	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.06		5'UTR	added	116339..116692	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.06		5'UTR	removed	116331..116692	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.07c		5'UTR	added	complement(120109..120233)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.07c		5'UTR	removed	complement(120109..120309)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.08c		5'UTR	added	complement(122209..122556)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.08c		5'UTR	removed	complement(122209..123785)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.09		5'UTR	added	122813..122844	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.09		5'UTR	removed	122187..122844	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.10		5'UTR	added	125257..125581			
8650	kmr44	2023-01-12	I	SPAC11D3.11c		5'UTR	added	complement(129186..129294)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.11c		5'UTR	removed	complement(129186..129316)			
8650	kmr44	2023-01-12	I	SPAC11D3.13		5'UTR	added	130170..130328	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.13		5'UTR	removed	130148..130328	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.14c		5'UTR	added	complement(135102..135147)			
8650	kmr44	2023-01-12	I	SPAC11D3.15		5'UTR	added	136245..136330	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.15		5'UTR	removed	136139..136330	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.16c		5'UTR	added	complement(141201..141526)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.16c		5'UTR	removed	complement(141201..141653)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.17		5'UTR	added	142370..142674	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.17		5'UTR	removed	join(141199..141510,141559..142674)	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11D3.18c		5'UTR	added	complement(146359..146389)			
8650	kmr44	2023-01-12	I	SPAC11D3.19		5'UTR	added	106952..106964	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11D3.19		5'UTR	removed	106893..106964	PMID:21511999		
8650	kmr44	2023-01-12	I	SPAC11E3.01c		5'UTR	added	complement(5281365..5281407)	PMID:30566651		
8650	kmr44	2023-01-12	I	SPAC11E3.01c		5'UTR	removed	complement(5281365..5281420)	PMID:21511999		
