Systematic ID	Primary name	Date removed	Coordinates when removed	Comment	Reference
SPRPTB.16		2014-06-09	4535114..4535276		PomBase curators
SPRPTA.24		2014-06-09	5562559..5567158		PomBase curators
SPRPTA.25		2014-06-09	complement(join(5564531..5564853,5565067..5565187,5565247..5565349))		PomBase curators
SPRPTA.26		2014-06-09	5568686..5579133		PomBase curators
SPRPTB.17		2014-06-09	4535426..4535519		PomBase curators
SPRPTA.3		2014-06-09	15829..22113		PomBase curators
SPRPTA.4		2014-06-09	20859..29663		PomBase curators
SPRPTB.18		2014-06-09	4535640..4539804		PomBase curators
SPRPTB.1		2014-06-09	1..6535		PomBase curators
SPNCRNA.1380		2012-08-06	674049..676227	Merged into SPNCRNA.322	PomBase curators
SPNCRNA.1347		2012-08-06	complement(360439..363023)	Merged into SPNCRNA.304	PomBase curators
SPBTRNAASP.03		2012-01-03	1602188..1602260	Merged into SPBTRNAARG.06,SPBTRNAASP.05	PomBase curators
SPNCRNA.1196		2011-08-29	1431135..1433068	merged with SPNCRNA.67	PomBase curators
SPNCRNA.1254		2011-08-29	2011026..2012559	merged with SPNCRNA.511	PomBase curators
SPNCRNA.1291		2011-08-29	2362179..2362725	merged with SPNCRNA.519	PomBase curators
SPNCRNA.1652		2011-08-22	complement(3978331..3982106)	Merged into SPNCRNA.111	PomBase curators
SPNCRNA.548		2011-05-09	complement(1641873..1642741)	Merged into SPCC663.18	PomBase curators
SPNCRNA.531		2011-05-09	2291674..2292604	Merged into SPAC4G9.22	PomBase curators
SPNCRNA.221		2011-04-18	3405117..3405938	Merged into SPNCRNA.907	PomBase curators
SPNCRNA.41	prl41	2011-03-24	1652051..1652489	Merged into SPBC21B10.14	PomBase curators
SPNCRNA.527		2011-03-24	2830376..2831519	Merged into SPAC3F10.19	PomBase curators
SPNCRNA.44	prl44	2011-03-24	955413..955760	Merged into SPCPB16A4.07	PomBase curators
SPNCRNA.476		2011-03-24	934572..935182	Merged into SPCC24B10.19c	PomBase curators
SPNCRNA.288		2011-03-24	complement(61601..62885)	Merged into SPBPB21E7.11	PomBase curators
SPNCRNA.308		2011-03-24	501166..501471	Merged into SPBC1685.16	PomBase curators
SPNCRNA.418		2011-03-24	3252028..3253686	Merged into SPBC25H2.18	PomBase curators
SPNCRNA.314		2011-03-24	578127..578188	Merged into SPBC354.12	PomBase curators
SPNCRNA.347		2011-03-24	1385519..1386025	Merged into SPBC8D2.15	PomBase curators
SPNCRNA.353		2011-03-24	1546238..1546718	Merged into SPBC29B5.01	PomBase curators
SPNCRNA.588		2011-03-24	complement(join(3835571..3835672,3835719..3835910,3835967..3836109))	Merged into SPAC4H3.16	PomBase curators
SPNCRNA.422		2011-03-24	3530807..3530914	Merged into SPBC1105.14	PomBase curators
SPNCRNA.60	prl60	2011-03-24	complement(2005290..2005716)	Merged into SPBP23A10.17	PomBase curators
SPNCRNA.381		2011-03-24	3398737..3398938		PomBase curators
SPNCRNA.65	prl65	2011-03-24	complement(join(2472399..2472749,2472861..2472897))	Merged into SPAC19A8.16	PomBase curators
SPNCRNA.537		2011-02-04	2273953..2274349	Merged into SPBC16H5.12c	PomBase curators
SPNCRNA.223		2011-02-04	complement(3534486..3536133)	Merged into SPAC16E8.18c	PomBase curators
SPNCRNA.542		2011-02-04	complement(3346551..3347078)	Merged into SPBC17D1.17	PomBase curators
SPNCRNA.509		2010-06-10	complement(1966483..1966635)	dubious and partially overlapping with Ost5. Merged into SPCC18.19c	PomBase curators
SPRRNA.25		2010-01-29	complement(814799..814896)	small fragment of 25S rRNA	PomBase curators
SPNCRNA.55	prl55	2010-01-29	2416235..2416706	Merged into SPAC6B12.18	PomBase curators
SPNCRNA.63	prl63	2009-10-23	complement(4008184..4008423)	Merged into SPNCRNA.53	PomBase curators
SPRRNA.23		2009-09-04	complement(16412..24810)	Merged into SPRRNA.44,SPRRNA.48,SPRRNA.51	PomBase curators
SPRRNA.08		2009-09-04	2439540..2447392	Merged into SPRRNA.46,SPRRNA.49,SPRRNA.52	PomBase curators
SPRRNA.22		2009-09-04	complement(5542..13722)		PomBase curators
SPRRNA.21		2009-09-04	complement(1..2852)	Merged into SPRRNA.42,SPRRNA.43,SPRRNA.47,SPRRNA.50	PomBase curators
SPRRNA.09		2009-09-04	2450422..2452883	Merged into SPRRNA.45	PomBase curators
SPNCRNA.109		2008-08-27	2090329..2090574	part of protein coding gene merge	PomBase curators
SPNCRNA.430		2008-07-16	3892174..3892932	Merged into SPBC1604.25	PomBase curators
SPNCRNA.470		2008-07-16	684621..685496	Merged into SPCC16C4.22	PomBase curators
SPNCRNA.235		2008-07-16	3790667..3791710	Merged into SPAP4C9.02	PomBase curators
SPNCRNA.162		2008-07-16	967652..968379	Merged into SPAC222.17	PomBase curators
SPNCRNA.245		2008-07-16	complement(4365732..4366743)	Merged into SPAC23D3.17	PomBase curators
SPNCRNA.97		2008-01-23	4012418..4012891	replaced by short protein coding gene SPAC27E2.14	PomBase curators
SPNCRNA.85		2008-01-23	complement(500805..501224)	replaced by protein coding gene SPAC227.19c	PomBase curators
SPNCRNA.533		2008-01-23	complement(62375..63035)		PomBase curators
SPNCRNA.48	prl48	2008-01-23	complement(join(3942128..3942364,3942504..3942673,3942775..3942906))	replaced by protein coding gene SPAC2F3.18	PomBase curators
SPSNORNA.51	snR99	2007-07-05	583416..583605	Merged into SPSNORNA.32	PomBase curators
SPNCRNA.49	prl49	2006-09-05	complement(4009084..4009282)	Merged into SPNCRNA.53	PomBase curators
SPNCRNA15		2004-09-15	complement(1329946..1330660)		PomBase curators
SPNCTRNA.25		2004-09-15	2569630..2570056		PomBase curators
